class,super_class,label,comment
http://iec.ch/TC57/2013/CIM-schema-cim16#PowerSystemResource,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,PowerSystemResource,"A power system resource (PSR) can be an item of equipment such as a switch, an equipment container containing many individual items of equipment such as a substation, or an organisational entity such as sub-control area. Power system resources can have measurements associated."
http://iec.ch/TC57/2013/CIM-schema-cim16#PowerElectronicsWindUnit,http://iec.ch/TC57/2013/CIM-schema-cim16#PowerElectronicsUnit,PowerElectronicsWindUnit,A wind generating unit that connects to the AC network with power electronics rather than rotating machines or an aggregation of such units.
http://iec.ch/TC57/2013/CIM-schema-cim16#DCEquipmentContainer,http://iec.ch/TC57/2013/CIM-schema-cim16#EquipmentContainer,DCEquipmentContainer,A modelling construct to provide a root class for containment of DC as well as AC equipment. The class differ from the EquipmentContaner for AC in that it may also contain DCNode-s. Hence it can contain both AC and DC equipment.
http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,,IdentifiedObject,
http://iec.ch/TC57/2013/CIM-schema-cim16#PowerElectronicsUnit,http://iec.ch/TC57/2013/CIM-schema-cim16#Equipment,PowerElectronicsUnit,A generating unit or battery or aggregation that connects to the AC network using power electronics rather than rotating machines.
http://iec.ch/TC57/2013/CIM-schema-cim16#OperationalLimit,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,OperationalLimit,"A value and normal value associated with a specific kind of limit. 
The sub class value and normalValue attributes vary inversely to the associated OperationalLimitType.acceptableDuration (acceptableDuration for short).  
If a particular piece of equipment has multiple operational limits of the same kind (apparent power, current, etc.), the limit with the greatest acceptableDuration shall have the smallest limit value and the limit with the smallest acceptableDuration shall have the largest limit value.  Note: A large current can only be allowed to flow through a piece of equipment for a short duration without causing damage, but a lesser current can be allowed to flow for a longer duration. "
http://iec.ch/TC57/2013/CIM-schema-cim16#OperationalLimitSet,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,OperationalLimitSet,"A set of limits associated with equipment.  Sets of limits might apply to a specific temperature, or season for example. A set of limits may contain different severities of limit levels that would apply to the same equipment. The set may contain limits of different types such as apparent power and current limits or high and low voltage limits  that are logically applied together as a set."
http://iec.ch/TC57/2013/CIM-schema-cim16#Substation,http://iec.ch/TC57/2013/CIM-schema-cim16#EquipmentContainer,Substation,"A collection of equipment for purposes other than generation or utilization, through which electric energy in bulk is passed for the purposes of switching or modifying its characteristics. "
http://iec.ch/TC57/2013/CIM-schema-cim16#DCDisconnector,http://iec.ch/TC57/2013/CIM-schema-cim16#DCSwitch,DCDisconnector,A disconnector within a DC system.
http://iec.ch/TC57/2013/CIM-schema-cim16#ShuntCompensator,http://iec.ch/TC57/2013/CIM-schema-cim16#RegulatingCondEq,ShuntCompensator,A shunt capacitor or reactor or switchable bank of shunt capacitors or reactors. A section of a shunt compensator is an individual capacitor or reactor. A negative value for bPerSection indicates that the compensator is a reactor. ShuntCompensator is a single terminal device.  Ground is implied.
http://iec.ch/TC57/2013/CIM-schema-cim16#CsConverter,http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCConverter,CsConverter,"DC side of the current source converter (CSC).
The firing angle controls the dc voltage at the converter, both for rectifier and inverter. The difference between the dc voltages of the rectifier and inverter determines the dc current. The extinction angle is used to limit the dc voltage at the inverter, if needed, and is not used in active power control. The firing angle, transformer tap position and number of connected filters are the primary means to control a current source dc line. Higher level controls are built on top, e.g. dc voltage, dc current and active power. From a steady state perspective it is sufficient to specify the wanted active power transfer (ACDCConverter.targetPpcc) and the control functions will set the dc voltage, dc current, firing angle, transformer tap position and number of connected filters to meet this. Therefore attributes targetAlpha and targetGamma are not applicable in this case.
The reactive power consumed by the converter is a function of the firing angle, transformer tap position and number of connected filter, which can be approximated with half of the active power. The losses is a function of the dc voltage and dc current.
The attributes minAlpha and maxAlpha define the range of firing angles for rectifier operation between which no discrete tap changer action takes place. The range is typically 10-18 degrees.
The attributes minGamma and maxGamma define the range of extinction angles for inverter operation between which no discrete tap changer action takes place. The range is typically 17-20 degrees."
http://iec.ch/TC57/2013/CIM-schema-cim16#FaultIndicator,http://iec.ch/TC57/2013/CIM-schema-cim16#AuxiliaryEquipment,FaultIndicator,"A FaultIndicator is typically only an indicator (which may or may not be remotely monitored), and not a piece of equipment that actually initiates a protection event. It is used for FLISR (Fault Location, Isolation and Restoration) purposes, assisting with the dispatch of crews to ""most likely"" part of the network (i.e. assists with determining circuit section where the fault most likely happened)."
http://iec.ch/TC57/2013/CIM-schema-cim16#Season,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,Season,A specified time period of the year.
http://iec.ch/TC57/2013/CIM-schema-cim16#Conductor,http://iec.ch/TC57/2013/CIM-schema-cim16#ConductingEquipment,Conductor,"Combination of conducting material with consistent electrical characteristics, building a single electrical system, used to carry current between points in the power system.  "
http://iec.ch/TC57/2013/CIM-schema-cim16#EnergyConnection,http://iec.ch/TC57/2013/CIM-schema-cim16#ConductingEquipment,EnergyConnection,A connection of energy generation or consumption on the power system model.
http://iec.ch/TC57/2013/CIM-schema-cim16#ReactiveCapabilityCurve,http://iec.ch/TC57/2013/CIM-schema-cim16#Curve,ReactiveCapabilityCurve,"Reactive power rating envelope versus the synchronous machine's active power, in both the generating and motoring modes. For each active power value there is a corresponding high and low reactive power limit  value. Typically there will be a separate curve for each coolant condition, such as hydrogen pressure.  The Y1 axis values represent reactive minimum and the Y2 axis values represent reactive maximum."
http://iec.ch/TC57/2013/CIM-schema-cim16#RatioTapChanger,http://iec.ch/TC57/2013/CIM-schema-cim16#TapChanger,RatioTapChanger,"A tap changer that changes the voltage ratio impacting the voltage magnitude but not the phase angle across the transformer.

Angle sign convention (general): Positive value indicates a positive phase shift from the winding where the tap is located to the other winding (for a two-winding transformer)."
http://iec.ch/TC57/2013/CIM-schema-cim16#ConformLoadGroup,http://iec.ch/TC57/2013/CIM-schema-cim16#LoadGroup,ConformLoadGroup,A group of loads conforming to an allocation pattern. 
http://iec.ch/TC57/2013/CIM-schema-cim16#PhotoVoltaicUnit,http://iec.ch/TC57/2013/CIM-schema-cim16#PowerElectronicsUnit,PhotoVoltaicUnit,A photovoltaic device or an aggregation of such devices.
http://iec.ch/TC57/2013/CIM-schema-cim16#DCBaseTerminal,http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCTerminal,DCBaseTerminal,An electrical connection point at a piece of DC conducting equipment. DC terminals are connected at one physical DC node that may have multiple DC terminals connected. A DC node is similar to an AC connectivity node. The model requires that DC connections are distinct from AC connections. 
http://iec.ch/TC57/2013/CIM-schema-cim16#Curve,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,Curve,A multi-purpose curve or functional relationship between an independent variable (X-axis) and dependent (Y-axis) variables. 
http://iec.ch/TC57/2013/CIM-schema-cim16#PhaseTapChangerSymmetrical,http://iec.ch/TC57/2013/CIM-schema-cim16#PhaseTapChangerNonLinear,PhaseTapChangerSymmetrical,Describes a symmetrical phase shifting transformer tap model in which the voltage magnitude of both sides is the same. The difference voltage magnitude is the base in an equal-sided triangle where the sides corresponds to the primary and secondary voltages. The phase angle difference corresponds to the top angle and can be expressed as twice the arctangent of half the total difference voltage.
http://iec.ch/TC57/2013/CIM-schema-cim16#EarthFaultCompensator,http://iec.ch/TC57/2013/CIM-schema-cim16#ConductingEquipment,EarthFaultCompensator,"A conducting equipment used to represent a connection to ground which is typically used to compensate earth faults.   An earth fault compensator device modelled with a single terminal implies a second terminal solidly connected to ground.  If two terminals are modelled, the ground is not assumed and normal connection rules apply."
http://iec.ch/TC57/2013/CIM-schema-cim16#PetersenCoil,http://iec.ch/TC57/2013/CIM-schema-cim16#EarthFaultCompensator,PetersenCoil,A variable impedance device normally used to offset line charging during single line faults in an ungrounded section of network.
http://iec.ch/TC57/2013/CIM-schema-cim16#ACLineSegment,http://iec.ch/TC57/2013/CIM-schema-cim16#Conductor,ACLineSegment,"A wire or combination of wires, with consistent electrical characteristics, building a single electrical system, used to carry alternating current between points in the power system.
For symmetrical, transposed three phase lines, it is sufficient to use attributes of the line segment, which describe impedances and admittances for the entire length of the segment.  Additionally impedances can be computed by using length and associated per length impedances.
The BaseVoltage at the two ends of ACLineSegments in a Line shall have the same BaseVoltage.nominalVoltage. However, boundary lines may have slightly different BaseVoltage.nominalVoltages and variation is allowed. Larger voltage difference in general requires use of an equivalent branch."
http://iec.ch/TC57/2013/CIM-schema-cim16#Fuse,http://iec.ch/TC57/2013/CIM-schema-cim16#Switch,Fuse,An overcurrent protective device with a circuit opening fusible part that is heated and severed by the passage of overcurrent through it. A fuse is considered a switching device because it breaks current.
http://iec.ch/TC57/2013/CIM-schema-cim16#DCLine,http://iec.ch/TC57/2013/CIM-schema-cim16#DCEquipmentContainer,DCLine,Overhead lines and/or cables connecting two or more HVDC substations.
http://iec.ch/TC57/2013/CIM-schema-cim16#LinearShuntCompensator,http://iec.ch/TC57/2013/CIM-schema-cim16#ShuntCompensator,LinearShuntCompensator,A linear shunt compensator has banks or sections with equal admittance values.
http://iec.ch/TC57/2013/CIM-schema-cim16#EquivalentEquipment,http://iec.ch/TC57/2013/CIM-schema-cim16#ConductingEquipment,EquivalentEquipment,The class represents equivalent objects that are the result of a network reduction. The class is the base for equivalent objects of different types.
http://iec.ch/TC57/2013/CIM-schema-cim16#SeriesCompensator,http://iec.ch/TC57/2013/CIM-schema-cim16#ConductingEquipment,SeriesCompensator,A Series Compensator is a series capacitor or reactor or an AC transmission line without charging susceptance.  It is a two terminal device.
http://iec.ch/TC57/2013/CIM-schema-cim16#GrossToNetActivePowerCurve,http://iec.ch/TC57/2013/CIM-schema-cim16#Curve,GrossToNetActivePowerCurve,"Relationship between the generating unit's gross active power output on the X-axis (measured at the terminals of the machine(s)) and the generating unit's net active power output on the Y-axis (based on utility-defined measurements at the power station). Station service loads, when modelled, should be treated as non-conforming bus loads. There may be more than one curve, depending on the auxiliary equipment that is in service."
http://iec.ch/TC57/2013/CIM-schema-cim16#BusNameMarker,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,BusNameMarker,"Used to apply user standard names to TopologicalNodes. Associated with one or more terminals that are normally connected with the bus name.    The associated terminals are normally connected by non-retained switches. For a ring bus station configuration, all BusbarSection terminals in the ring are typically associated.   For a breaker and a half scheme, both BusbarSections would normally be associated.  For a ring bus, all BusbarSections would normally be associated.  For a ""straight"" busbar configuration, normally only the main terminal at the BusbarSection would be associated.  "
http://iec.ch/TC57/2013/CIM-schema-cim16#PhaseTapChangerNonLinear,http://iec.ch/TC57/2013/CIM-schema-cim16#PhaseTapChanger,PhaseTapChangerNonLinear,The non-linear phase tap changer describes the non-linear behaviour of a phase tap changer. This is a base class for the symmetrical and asymmetrical phase tap changer models. The details of these models can be found in IEC 61970-301.
http://iec.ch/TC57/2013/CIM-schema-cim16#TransformerEnd,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,TransformerEnd,"A conducting connection point of a power transformer. It corresponds to a physical transformer winding terminal.  In earlier CIM versions, the TransformerWinding class served a similar purpose, but this class is more flexible because it associates to terminal but is not a specialization of ConductingEquipment."
http://iec.ch/TC57/2013/CIM-schema-cim16#GroundDisconnector,http://iec.ch/TC57/2013/CIM-schema-cim16#Switch,GroundDisconnector,A manually operated or motor operated mechanical switching device used for isolating a circuit or equipment from ground.
http://iec.ch/TC57/2013/CIM-schema-cim16#VoltageLimit,http://iec.ch/TC57/2013/CIM-schema-cim16#OperationalLimit,VoltageLimit,"Operational limit applied to voltage.
The use of operational VoltageLimit is preferred instead of limits defined at VoltageLevel. The operational VoltageLimits are used, if present."
http://iec.ch/TC57/2013/CIM-schema-cim16#LoadGroup,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,LoadGroup,The class is the third level in a hierarchical structure for grouping of loads for the purpose of load flow load scaling.
http://iec.ch/TC57/2013/CIM-schema-cim16#LoadBreakSwitch,http://iec.ch/TC57/2013/CIM-schema-cim16#ProtectedSwitch,LoadBreakSwitch,"A mechanical switching device capable of making, carrying, and breaking currents under normal operating conditions."
http://iec.ch/TC57/2013/CIM-schema-cim16#BatteryUnit,http://iec.ch/TC57/2013/CIM-schema-cim16#PowerElectronicsUnit,BatteryUnit,An electrochemical energy storage device.
http://iec.ch/TC57/2013/CIM-schema-cim16#DCSeriesDevice,http://iec.ch/TC57/2013/CIM-schema-cim16#DCConductingEquipment,DCSeriesDevice,"A series device within the DC system, typically a reactor used for filtering or smoothing.  Needed for transient and short circuit studies."
http://iec.ch/TC57/2013/CIM-schema-cim16#VoltageLevel,http://iec.ch/TC57/2013/CIM-schema-cim16#EquipmentContainer,VoltageLevel,"A collection of equipment at one common system voltage forming a switchgear. The equipment typically consists of breakers, busbars, instrumentation, control, regulation and protection devices as well as assemblies of all these."
http://iec.ch/TC57/2013/CIM-schema-cim16#SolarPowerPlant,http://iec.ch/TC57/2013/CIM-schema-cim16#PowerSystemResource,SolarPowerPlant,Solar power plant.
http://iec.ch/TC57/2013/CIM-schema-cim16#NonConformLoad,http://iec.ch/TC57/2013/CIM-schema-cim16#EnergyConsumer,NonConformLoad,NonConformLoad represents loads that do not follow a daily load change pattern and whose changes are not correlated with the daily load change pattern.
http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCConverter,http://iec.ch/TC57/2013/CIM-schema-cim16#ConductingEquipment,ACDCConverter,"A unit with valves for three phases, together with unit control equipment, essential protective and switching devices, DC storage capacitors, phase reactors and auxiliaries, if any, used for conversion."
http://iec.ch/TC57/2013/CIM-schema-cim16#EnergyConsumer,http://iec.ch/TC57/2013/CIM-schema-cim16#EnergyConnection,EnergyConsumer,"Generic user of energy - a  point of consumption on the power system model.
EnergyConsumer.pfixed, .qfixed, .pfixedPct and .qfixedPct have meaning only if there is no LoadResponseCharacteristic associated with EnergyConsumer or if LoadResponseCharacteristic.exponentModel is set to False."
http://iec.ch/TC57/2013/CIM-schema-cim16#Junction,http://iec.ch/TC57/2013/CIM-schema-cim16#Connector,Junction,A point where one or more conducting equipments are connected with zero resistance.
http://iec.ch/TC57/2013/CIM-schema-cim16#StationSupply,http://iec.ch/TC57/2013/CIM-schema-cim16#EnergyConsumer,StationSupply,Station supply with load derived from the station output.
http://iec.ch/TC57/2013/CIM-schema-cim16#ApparentPowerLimit,http://iec.ch/TC57/2013/CIM-schema-cim16#OperationalLimit,ApparentPowerLimit,Apparent power limit.
http://iec.ch/TC57/2013/CIM-schema-cim16#Disconnector,http://iec.ch/TC57/2013/CIM-schema-cim16#Switch,Disconnector,"A manually operated or motor operated mechanical switching device used for changing the connections in a circuit, or for isolating a circuit or equipment from a source of power. It is required to open or close circuits when negligible current is broken or made. "
http://iec.ch/TC57/2013/CIM-schema-cim16#VsCapabilityCurve,http://iec.ch/TC57/2013/CIM-schema-cim16#Curve,VsCapabilityCurve,"The P-Q capability curve for a voltage source converter, with P on X-axis and Qmin and Qmax on Y1-axis and Y2-axis."
http://iec.ch/TC57/2013/CIM-schema-cim16#FossilFuel,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,FossilFuel,"The fossil fuel consumed by the non-nuclear thermal generating unit.   For example, coal, oil, gas, etc.   These are the specific fuels that the generating unit can consume."
http://iec.ch/TC57/2013/CIM-schema-cim16#PotentialTransformer,http://iec.ch/TC57/2013/CIM-schema-cim16#Sensor,PotentialTransformer,"Instrument transformer (also known as Voltage Transformer) used to measure electrical qualities of the circuit that is being protected and/or monitored. Typically used as voltage transducer for the purpose of metering, protection, or sometimes auxiliary substation supply. A typical secondary voltage rating would be 120V."
http://iec.ch/TC57/2013/CIM-schema-cim16#EquivalentBranch,http://iec.ch/TC57/2013/CIM-schema-cim16#EquivalentEquipment,EquivalentBranch,"The class represents equivalent branches. In cases where a transformer phase shift is modelled and the EquivalentBranch is spanning the same nodes, the impedance quantities for the EquivalentBranch shall consider the needed phase shift."
http://iec.ch/TC57/2013/CIM-schema-cim16#HydroPowerPlant,http://iec.ch/TC57/2013/CIM-schema-cim16#PowerSystemResource,HydroPowerPlant,"A hydro power station which can generate or pump. When generating, the generator turbines receive water from an upper reservoir. When pumping, the pumps receive their water from a lower reservoir."
http://iec.ch/TC57/2013/CIM-schema-cim16#NonlinearShuntCompensatorPoint,,NonlinearShuntCompensatorPoint,
http://iec.ch/TC57/2013/CIM-schema-cim16#PhaseTapChangerTablePoint,http://iec.ch/TC57/2013/CIM-schema-cim16#TapChangerTablePoint,PhaseTapChangerTablePoint,Describes each tap step in the phase tap changer tabular curve.
http://iec.ch/TC57/2013/CIM-schema-cim16#CogenerationPlant,http://iec.ch/TC57/2013/CIM-schema-cim16#PowerSystemResource,CogenerationPlant,A set of thermal generating units for the production of electrical energy and process steam (usually from the output of the steam turbines). The steam sendout is typically used for industrial purposes or for municipal heating and cooling.
http://iec.ch/TC57/2013/CIM-schema-cim16#DCNode,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,DCNode,DC nodes are points where terminals of DC conducting equipment are connected together with zero impedance.
http://iec.ch/TC57/2013/CIM-schema-cim16#SubLoadArea,http://iec.ch/TC57/2013/CIM-schema-cim16#EnergyArea,SubLoadArea,The class is the second level in a hierarchical structure for grouping of loads for the purpose of load flow load scaling.
http://iec.ch/TC57/2013/CIM-schema-cim16#TieFlow,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,TieFlow,Defines the structure (in terms of location and direction) of the net interchange constraint for a control area. This constraint may be used by either AGC or power flow.
http://iec.ch/TC57/2013/CIM-schema-cim16#PhaseTapChanger,http://iec.ch/TC57/2013/CIM-schema-cim16#TapChanger,PhaseTapChanger,A transformer phase shifting tap model that controls the phase angle difference across the power transformer and potentially the active power flow through the power transformer.  This phase tap model may also impact the voltage magnitude.
http://iec.ch/TC57/2013/CIM-schema-cim16#EquipmentContainer,http://iec.ch/TC57/2013/CIM-schema-cim16#ConnectivityNodeContainer,EquipmentContainer,A modelling construct to provide a root class for containing equipment. 
http://iec.ch/TC57/2013/CIM-schema-cim16#StaticVarCompensator,http://iec.ch/TC57/2013/CIM-schema-cim16#RegulatingCondEq,StaticVarCompensator,"A facility for providing variable and controllable shunt reactive power. The SVC typically consists of a stepdown transformer, filter, thyristor-controlled reactor, and thyristor-switched capacitor arms.

The SVC may operate in fixed MVar output mode or in voltage control mode. When in voltage control mode, the output of the SVC will be proportional to the deviation of voltage at the controlled bus from the voltage setpoint.  The SVC characteristic slope defines the proportion.  If the voltage at the controlled bus is equal to the voltage setpoint, the SVC MVar output is zero."
http://iec.ch/TC57/2013/CIM-schema-cim16#DayType,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,DayType,"Group of similar days.   For example it could be used to represent weekdays, weekend, or holidays."
