property,label,domain,range,comment
http://iec.ch/TC57/2013/CIM-schema-cim16#SwitchSchedule.Switch,Switch,http://iec.ch/TC57/2013/CIM-schema-cim16#SwitchSchedule,http://iec.ch/TC57/2013/CIM-schema-cim16#Switch,A SwitchSchedule is associated with a Switch.
http://iec.ch/TC57/2013/CIM-schema-cim16#CurveData.Curve,Curve,http://iec.ch/TC57/2013/CIM-schema-cim16#CurveData,http://iec.ch/TC57/2013/CIM-schema-cim16#Curve,The curve of  this curve data point.
http://iec.ch/TC57/2013/CIM-schema-cim16#Season.endDate,endDate,http://iec.ch/TC57/2013/CIM-schema-cim16#Season,http://iec.ch/TC57/2013/CIM-schema-cim16#MonthDay,Date season ends.
http://iec.ch/TC57/2013/CIM-schema-cim16#ExternalNetworkInjection.maxP,maxP,http://iec.ch/TC57/2013/CIM-schema-cim16#ExternalNetworkInjection,http://www.w3.org/2001/XMLSchema#double,Maximum active power of the injection.
http://iec.ch/TC57/2013/CIM-schema-cim16#ExternalNetworkInjection.maxQ,maxQ,http://iec.ch/TC57/2013/CIM-schema-cim16#ExternalNetworkInjection,http://www.w3.org/2001/XMLSchema#double,Maximum reactive power limit. It is used for modelling of infeed for load flow exchange and not for short circuit modelling.
http://iec.ch/TC57/2013/CIM-schema-cim16#CsConverter.maxIdc,maxIdc,http://iec.ch/TC57/2013/CIM-schema-cim16#CsConverter,http://www.w3.org/2001/XMLSchema#double,The maximum direct current (Id) on the DC side at which the converter should operate. It is converter’s configuration data use in power flow. The attribute shall be a positive value.
http://iec.ch/TC57/2013/CIM-schema-cim16#ExternalNetworkInjection.minP,minP,http://iec.ch/TC57/2013/CIM-schema-cim16#ExternalNetworkInjection,http://www.w3.org/2001/XMLSchema#double,Minimum active power of the injection.
http://iec.ch/TC57/2013/CIM-schema-cim16#LoadResponseCharacteristic.qFrequencyExponent,qFrequencyExponent,http://iec.ch/TC57/2013/CIM-schema-cim16#LoadResponseCharacteristic,http://www.w3.org/2001/XMLSchema#double,Exponent of per unit frequency effecting reactive power.
http://iec.ch/TC57/2013/CIM-schema-cim16#DCShunt.capacitance,capacitance,http://iec.ch/TC57/2013/CIM-schema-cim16#DCShunt,http://www.w3.org/2001/XMLSchema#double,Capacitance of the DC shunt.
http://iec.ch/TC57/2013/CIM-schema-cim16#GeneratingUnit.totalEfficiency,totalEfficiency,http://iec.ch/TC57/2013/CIM-schema-cim16#GeneratingUnit,http://www.w3.org/2001/XMLSchema#double,The efficiency of the unit in converting the fuel into electrical energy.
http://iec.ch/TC57/2013/CIM-schema-cim16#DCLineSegment.resistance,resistance,http://iec.ch/TC57/2013/CIM-schema-cim16#DCLineSegment,http://www.w3.org/2001/XMLSchema#double,Resistance of the DC line segment.
http://iec.ch/TC57/2013/CIM-schema-cim16#VsConverter.maxModulationIndex,maxModulationIndex,http://iec.ch/TC57/2013/CIM-schema-cim16#VsConverter,http://www.w3.org/2001/XMLSchema#double,The maximum quotient between the AC converter voltage (Uc) and DC voltage (Ud). A factor typically less than 1. It is converter’s configuration data used in power flow.
http://iec.ch/TC57/2013/CIM-schema-cim16#RotatingMachine.ratedPowerFactor,ratedPowerFactor,http://iec.ch/TC57/2013/CIM-schema-cim16#RotatingMachine,http://www.w3.org/2001/XMLSchema#double,Power factor (nameplate data). It is primarily used for short circuit data exchange according to IEC 60909. The attribute cannot be a negative value.
http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCConverter.idleLoss,idleLoss,http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCConverter,http://www.w3.org/2001/XMLSchema#double,Active power loss in pole at no power transfer. It is converter’s configuration data used in power flow. The attribute shall be a positive value.
http://iec.ch/TC57/2013/CIM-schema-cim16#RotatingMachine.GeneratingUnit,GeneratingUnit,http://iec.ch/TC57/2013/CIM-schema-cim16#RotatingMachine,http://iec.ch/TC57/2013/CIM-schema-cim16#GeneratingUnit,A synchronous machine may operate as a generator and as such becomes a member of a generating unit.
http://iec.ch/TC57/2013/CIM-schema-cim16#HydroPump.RotatingMachine,RotatingMachine,http://iec.ch/TC57/2013/CIM-schema-cim16#HydroPump,http://iec.ch/TC57/2013/CIM-schema-cim16#RotatingMachine,The synchronous machine drives the turbine which moves the water from a low elevation to a higher elevation. The direction of machine rotation for pumping may or may not be the same as for generating.
http://iec.ch/TC57/2013/CIM-schema-cim16#TransformerEnd.endNumber,endNumber,http://iec.ch/TC57/2013/CIM-schema-cim16#TransformerEnd,http://www.w3.org/2001/XMLSchema#integer,"Number for this transformer end, corresponding to the end's order in the power transformer vector group or phase angle clock number.  Highest voltage winding should be 1.  Each end within a power transformer should have a unique subsequent end number.   Note the transformer end number need not match the terminal sequence number."
http://iec.ch/TC57/2013/CIM-schema-cim16#GeneratingUnit.shortPF,shortPF,http://iec.ch/TC57/2013/CIM-schema-cim16#GeneratingUnit,http://www.w3.org/2001/XMLSchema#double,Generating unit short term economic participation factor.
http://iec.ch/TC57/2013/CIM-schema-cim16#LoadResponseCharacteristic.pConstantImpedance,pConstantImpedance,http://iec.ch/TC57/2013/CIM-schema-cim16#LoadResponseCharacteristic,http://www.w3.org/2001/XMLSchema#double,Portion of active power load modelled as constant impedance.
http://iec.ch/TC57/2013/CIM-schema-cim16#TapChangerTablePoint.step,step,http://iec.ch/TC57/2013/CIM-schema-cim16#TapChangerTablePoint,http://www.w3.org/2001/XMLSchema#integer,The tap step.
http://iec.ch/TC57/2013/CIM-schema-cim16#PhaseTapChangerLinear.xMax,xMax,http://iec.ch/TC57/2013/CIM-schema-cim16#PhaseTapChangerLinear,http://www.w3.org/2001/XMLSchema#double,"The reactance depends on the tap position according to a ""u"" shaped curve. The maximum reactance (xMax) appears at the low and high tap positions. Depending on the “u” curve the attribute can be either higher or lower than PowerTransformerEnd.x."
http://iec.ch/TC57/2013/CIM-schema-cim16#TapChanger.lowStep,lowStep,http://iec.ch/TC57/2013/CIM-schema-cim16#TapChanger,http://www.w3.org/2001/XMLSchema#integer,"Lowest possible tap step position, retard from neutral."
http://iec.ch/TC57/2013/CIM-schema-cim16#SynchronousMachine.maxQ,maxQ,http://iec.ch/TC57/2013/CIM-schema-cim16#SynchronousMachine,http://www.w3.org/2001/XMLSchema#double,Maximum reactive power limit. This is the maximum (nameplate) limit for the unit.
http://iec.ch/TC57/2013/CIM-schema-cim16#EnergyConsumer.qfixedPct,qfixedPct,http://iec.ch/TC57/2013/CIM-schema-cim16#EnergyConsumer,http://www.w3.org/2001/XMLSchema#double,"Fixed reactive power as a percentage of load group fixed reactive power. Used to represent the time-varying components.  Load sign convention is used, i.e. positive sign means flow out from a node."
http://iec.ch/TC57/2013/CIM-schema-cim16#CsConverter.minAlpha,minAlpha,http://iec.ch/TC57/2013/CIM-schema-cim16#CsConverter,http://www.w3.org/2001/XMLSchema#double,Minimum firing angle. It is converter’s configuration data used in power flow. The attribute shall be a positive value.
http://iec.ch/TC57/2013/CIM-schema-cim16#PowerElectronicsUnit.maxP,maxP,http://iec.ch/TC57/2013/CIM-schema-cim16#PowerElectronicsUnit,http://www.w3.org/2001/XMLSchema#double,Maximum active power limit. This is the maximum (nameplate) limit for the unit.
http://iec.ch/TC57/2013/CIM-schema-cim16#PowerElectronicsConnection.ratedU,ratedU,http://iec.ch/TC57/2013/CIM-schema-cim16#PowerElectronicsConnection,http://www.w3.org/2001/XMLSchema#double,"Rated voltage (nameplate data, Ur in IEC 60909-0). It is primarily used for short circuit data exchange according to IEC 60909.
The attribute shall be a positive value."
http://iec.ch/TC57/2013/CIM-schema-cim16#WindGeneratingUnit.windGenUnitType,windGenUnitType,http://iec.ch/TC57/2013/CIM-schema-cim16#WindGeneratingUnit,http://www.w3.org/2001/XMLSchema#string,The kind of wind generating unit.
http://iec.ch/TC57/2013/CIM-schema-cim16#AsynchronousMachine.nominalFrequency,nominalFrequency,http://iec.ch/TC57/2013/CIM-schema-cim16#AsynchronousMachine,http://www.w3.org/2001/XMLSchema#double,Nameplate data indicates if the machine is 50 Hz or 60 Hz.
