class,super_class,label,comment
http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCTerminal,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,ACDCTerminal,An electrical connection point (AC or DC) to a piece of conducting equipment. Terminals are connected at physical connection points called connectivity nodes.
http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDescriptor,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,DetailedModelDescriptor,Describes different components of a detailed model.
http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDescriptorArtifact,http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDescriptor,DetailedModelDescriptorArtifact,An artifact (e.g. file) describing the model. In can be used when reusing existing modules or in the use case where detailed models are already part of a reference library and the DetailedModelDynamics will only need to refer to a model from that library instead of constructing the model in detail.
http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDocumentationArtifact,http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDescriptor,DetailedModelDocumentationArtifact,"An artifact describing the model. For instance documentation containing block diagrams, results from reference implementation, etc."
http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelTypeDynamics,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,DetailedModelTypeDynamics,"The main class that packages all related to this type of a detailed model. This includes all parameters, functions, signals, etc."
http://iec.ch/TC57/2013/CIM-schema-cim16#DynamicsFunctionBlock,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,DynamicsFunctionBlock,Abstract parent class for all Dynamics function blocks.
http://iec.ch/TC57/2013/CIM-schema-cim16#FunctionDescriptor,http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDescriptor,FunctionDescriptor,Describes a function part of the detailed model.
http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,,IdentifiedObject,
http://iec.ch/TC57/2013/CIM-schema-cim16#InputOutputDescriptor,http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDescriptor,InputOutputDescriptor,Describes the inputs and outputs of the functions that describe an detailed model.
http://iec.ch/TC57/2013/CIM-schema-cim16#LimiterDescriptor,http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDescriptor,LimiterDescriptor,Describes a limiter part of the detailed model.
http://iec.ch/TC57/2013/CIM-schema-cim16#OperatorDescriptor,http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDescriptor,OperatorDescriptor,Describes the operator that connects different signals.
http://iec.ch/TC57/2013/CIM-schema-cim16#ParameterDesctiptor,http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDescriptor,ParameterDesctiptor,"Supports definition of one or more parameters of several different datatypes for use by the detailed model.  It describes the parameters used in the equations of the detailed model.
The name of the parameter shall be the same as the name used in the equations of the detailed model."
http://iec.ch/TC57/2013/CIM-schema-cim16#SignalDescriptor,http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDescriptor,SignalDescriptor,Describes the signals both internal signals that connect different functions or external signals.
