property,label,domain,range,comment
http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCTerminal.SignalDescriptor,SignalDescriptor,http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCTerminal,http://iec.ch/TC57/2013/CIM-schema-cim16#SignalDescriptor,The signal descriptor that has a terminal.
http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDescriptor.DetailedModelTypeDynamics,DetailedModelTypeDynamics,http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDescriptor,http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelTypeDynamics,The detailed model type dynamics that has detailed model descriptor.
http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDescriptorArtifact.FunctionDescriptor,FunctionDescriptor,http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDescriptorArtifact,http://iec.ch/TC57/2013/CIM-schema-cim16#FunctionDescriptor,The functional descriptor that has equation descriptor artifact.
http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDescriptorArtifact.equationLanguageKind,equationLanguageKind,http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDescriptorArtifact,http://www.w3.org/2001/XMLSchema#string,Describes what kind of language is used to describe the equation.
http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDescriptorArtifact.equationLanguageTypeOther,equationLanguageTypeOther,http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDescriptorArtifact,http://www.w3.org/2001/XMLSchema#string,Defines the language used to describe equations.
http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelTypeDynamics.DetailedModelDescriptor,DetailedModelDescriptor,http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelTypeDynamics,http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDescriptor,The detailed model descriptor that is part of the detailed model type dynamics.
http://iec.ch/TC57/2013/CIM-schema-cim16#DynamicsFunctionBlock.SignalDescriptor,SignalDescriptor,http://iec.ch/TC57/2013/CIM-schema-cim16#DynamicsFunctionBlock,http://iec.ch/TC57/2013/CIM-schema-cim16#SignalDescriptor,The signal which relates to this dynamics function block.
http://iec.ch/TC57/2013/CIM-schema-cim16#FunctionDescriptor.EquationDescriptorArtifact,EquationDescriptorArtifact,http://iec.ch/TC57/2013/CIM-schema-cim16#FunctionDescriptor,http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDescriptorArtifact,The equation descriptor artifact for this function descriptor.
http://iec.ch/TC57/2013/CIM-schema-cim16#FunctionDescriptor.InputOutputDescriptor,InputOutputDescriptor,http://iec.ch/TC57/2013/CIM-schema-cim16#FunctionDescriptor,http://iec.ch/TC57/2013/CIM-schema-cim16#InputOutputDescriptor,The input and output descriptor of this function descriptor.
http://iec.ch/TC57/2013/CIM-schema-cim16#FunctionDescriptor.LowerLimit,LowerLimit,http://iec.ch/TC57/2013/CIM-schema-cim16#FunctionDescriptor,http://iec.ch/TC57/2013/CIM-schema-cim16#LimiterDescriptor,The lower limit of the limiter descriptor.
http://iec.ch/TC57/2013/CIM-schema-cim16#FunctionDescriptor.ParameterDescriptor,ParameterDescriptor,http://iec.ch/TC57/2013/CIM-schema-cim16#FunctionDescriptor,http://iec.ch/TC57/2013/CIM-schema-cim16#ParameterDesctiptor,The parameter descriptor for this function descriptor.
