property,label,domain,range,comment
http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDynamics.DetailedModelTypeDynamics,DetailedModelTypeDynamics,http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDynamics,http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelTypeDynamics,The type of detailed model dynamics that is applied to the detailed model dynamics.
http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDynamics.DynamicsFunctionBlock,DynamicsFunctionBlock,http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDynamics,http://iec.ch/TC57/2013/CIM-schema-cim16#DynamicsFunctionBlock,The dynamics function block for this detailed model dynamics.
http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDynamics.Equipment,Equipment,http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDynamics,http://iec.ch/TC57/2013/CIM-schema-cim16#Equipment,The equipment which behaviour this detailed model dynamics represents.
http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDynamics.ParameterValue,ParameterValue,http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDynamics,http://iec.ch/TC57/2013/CIM-schema-cim16#ParameterValue,The value of the parameter for this detailed model dynamics.
http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelTypeDynamics.DetailedModelDynamics,DetailedModelDynamics,http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelTypeDynamics,http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDynamics,The detailed model dynamics that has this type of detailed model dynamics.
http://iec.ch/TC57/2013/CIM-schema-cim16#DynamicsFunctionBlock.DetailedModelDynamics,DetailedModelDynamics,http://iec.ch/TC57/2013/CIM-schema-cim16#DynamicsFunctionBlock,http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDynamics,The detailed model dynamics that has this dynamics function block.
http://iec.ch/TC57/2013/CIM-schema-cim16#DynamicsFunctionBlock.enabled,enabled,http://iec.ch/TC57/2013/CIM-schema-cim16#DynamicsFunctionBlock,http://www.w3.org/2001/XMLSchema#boolean,"Function block used indicator.
true = use of function block is enabled
false = use of function block is disabled."
http://iec.ch/TC57/2013/CIM-schema-cim16#Equipment.DetailedModelDynamics,DetailedModelDynamics,http://iec.ch/TC57/2013/CIM-schema-cim16#Equipment,http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDynamics,The detailed model dynamics this models this equipment.
http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject.description,description,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,http://www.w3.org/2001/XMLSchema#string,The description is a free human readable text describing or naming the object. It may be non unique and may not correlate to a naming hierarchy.
http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject.mRID,mRID,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,http://www.w3.org/2001/XMLSchema#string,"Master resource identifier issued by a model authority. The mRID is unique within an exchange context. Global uniqueness is easily achieved by using a UUID, as specified in RFC 4122, for the mRID. The use of UUID is strongly recommended.
For CIMXML data files in RDF syntax conforming to IEC 61970-552, the mRID is mapped to rdf:ID or rdf:about attributes that identify CIM object elements."
http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject.name,name,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,http://www.w3.org/2001/XMLSchema#string,The name is any free human readable and possibly non unique text naming the object.
http://iec.ch/TC57/2013/CIM-schema-cim16#ParameterDesctiptor.ParameterValue,ParameterValue,http://iec.ch/TC57/2013/CIM-schema-cim16#ParameterDesctiptor,http://iec.ch/TC57/2013/CIM-schema-cim16#ParameterValue,The value of the parameter descriptor.
http://iec.ch/TC57/2013/CIM-schema-cim16#ParameterValue.DetailedModelDynamics,DetailedModelDynamics,http://iec.ch/TC57/2013/CIM-schema-cim16#ParameterValue,http://iec.ch/TC57/2013/CIM-schema-cim16#DetailedModelDynamics,The detailed model to which this parameter value applies.
http://iec.ch/TC57/2013/CIM-schema-cim16#ParameterValue.ParameterDescriptor,ParameterDescriptor,http://iec.ch/TC57/2013/CIM-schema-cim16#ParameterValue,http://iec.ch/TC57/2013/CIM-schema-cim16#ParameterDesctiptor,The parameter descriptor that has this value.
http://iec.ch/TC57/2013/CIM-schema-cim16#ParameterValue.value,value,http://iec.ch/TC57/2013/CIM-schema-cim16#ParameterValue,http://www.w3.org/2001/XMLSchema#string,The value of the parameter.
