property,label,domain,range,comment
http://iec.ch/TC57/2013/CIM-schema-cim16#Diagram.DiagramElements,DiagramElements,http://iec.ch/TC57/2013/CIM-schema-cim16#Diagram,http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObject,A diagram is made up of multiple diagram objects.
http://iec.ch/TC57/2013/CIM-schema-cim16#Diagram.DiagramStyle,DiagramStyle,http://iec.ch/TC57/2013/CIM-schema-cim16#Diagram,http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramStyle,A Diagram may have a DiagramStyle.
http://iec.ch/TC57/2013/CIM-schema-cim16#Diagram.orientation,orientation,http://iec.ch/TC57/2013/CIM-schema-cim16#Diagram,http://www.w3.org/2001/XMLSchema#string,"Coordinate system orientation of the diagram. A positive orientation gives standard “right-hand” orientation, with negative orientation indicating a “left-hand” orientation. For 2D diagrams, a positive orientation will result in X values increasing from left to right and Y values increasing from bottom to top. A negative orientation gives the “left-hand” orientation (favoured by computer graphics displays) with X values increasing from left to right and Y values increasing from top to bottom."
http://iec.ch/TC57/2013/CIM-schema-cim16#Diagram.x1InitialView,x1InitialView,http://iec.ch/TC57/2013/CIM-schema-cim16#Diagram,http://www.w3.org/2001/XMLSchema#double,X coordinate of the first corner of the initial view.
http://iec.ch/TC57/2013/CIM-schema-cim16#Diagram.x2InitialView,x2InitialView,http://iec.ch/TC57/2013/CIM-schema-cim16#Diagram,http://www.w3.org/2001/XMLSchema#double,X coordinate of the second corner of the initial view.
http://iec.ch/TC57/2013/CIM-schema-cim16#Diagram.y1InitialView,y1InitialView,http://iec.ch/TC57/2013/CIM-schema-cim16#Diagram,http://www.w3.org/2001/XMLSchema#double,Y coordinate of the first corner of the initial view.
http://iec.ch/TC57/2013/CIM-schema-cim16#Diagram.y2InitialView,y2InitialView,http://iec.ch/TC57/2013/CIM-schema-cim16#Diagram,http://www.w3.org/2001/XMLSchema#double,Y coordinate of the second corner of the initial view.
http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObject.Diagram,Diagram,http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObject,http://iec.ch/TC57/2013/CIM-schema-cim16#Diagram,A diagram object is part of a diagram.
http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObject.DiagramObjectPoints,DiagramObjectPoints,http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObject,http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObjectPoint,"A diagram object can have 0 or more points to reflect its layout position, routing (for polylines) or boundary (for polygons)."
http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObject.DiagramObjectStyle,DiagramObjectStyle,http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObject,http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObjectStyle,A diagram object has a style associated that provides a reference for the style used in the originating system.
http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObject.IdentifiedObject,IdentifiedObject,http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObject,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,The domain object to which this diagram object is associated.
http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObject.VisibilityLayers,VisibilityLayers,http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObject,http://iec.ch/TC57/2013/CIM-schema-cim16#VisibilityLayer,A diagram object can be part of multiple visibility layers.
http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObject.drawingOrder,drawingOrder,http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObject,http://www.w3.org/2001/XMLSchema#integer,"The drawing order of this element. The higher the number, the later the element is drawn in sequence. This is used to ensure that elements that overlap are rendered in the correct order."
http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObject.isPolygon,isPolygon,http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObject,http://www.w3.org/2001/XMLSchema#boolean,Defines whether or not the diagram objects points define the boundaries of a polygon or the routing of a polyline. If this value is true then a receiving application should consider the first and last points to be connected.
http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObject.offsetX,offsetX,http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObject,http://www.w3.org/2001/XMLSchema#double,"The offset in the X direction. This is used for defining the offset from centre for rendering an icon (the default is that a single point specifies the centre of the icon).

The offset is in per-unit with 0 indicating there is no offset from the horizontal centre of the icon.  -0.5 indicates it is offset by 50% to the left and 0.5 indicates an offset of 50% to the right."
http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObject.offsetY,offsetY,http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObject,http://www.w3.org/2001/XMLSchema#double,"The offset in the Y direction. This is used for defining the offset from centre for rendering an icon (the default is that a single point specifies the centre of the icon).

The offset is in per-unit with 0 indicating there is no offset from the vertical centre of the icon.  The offset direction is dependent on the orientation of the diagram, with -0.5 and 0.5 indicating an offset of +/- 50% on the vertical axis."
http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObject.rotation,rotation,http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObject,http://www.w3.org/2001/XMLSchema#double,"Sets the angle of rotation of the diagram object.  Zero degrees is pointing to the top of the diagram.  Rotation is clockwise.  DiagramObject.rotation=0 has the following meaning: The connection point of an element which has one terminal is pointing to the top side of the diagram. The connection point ""From side"" of an element which has more than one terminal is pointing to the top side of the diagram.
DiagramObject.rotation=90 has the following meaning: The connection point of an element which has one terminal is pointing to the right hand side of the diagram. The connection point ""From side"" of an element which has more than one terminal is pointing to the right hand side of the diagram."
http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObjectGluePoint.DiagramObjectPoints,DiagramObjectPoints,http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObjectGluePoint,http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObjectPoint,A diagram object glue point is associated with 2 or more object points that are considered to be 'glued' together.
http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObjectPoint.DiagramObject,DiagramObject,http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObjectPoint,http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObject,The diagram object with which the points are associated.
http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObjectPoint.DiagramObjectGluePoint,DiagramObjectGluePoint,http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObjectPoint,http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObjectGluePoint,The 'glue' point to which this point is associated.
http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObjectPoint.sequenceNumber,sequenceNumber,http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObjectPoint,http://www.w3.org/2001/XMLSchema#integer,"The sequence position of the point, used for defining the order of points for diagram objects acting as a polyline or polygon with more than one point. The attribute shall be a positive value."
http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObjectPoint.xPosition,xPosition,http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObjectPoint,http://www.w3.org/2001/XMLSchema#double,The X coordinate of this point.
http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObjectPoint.yPosition,yPosition,http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObjectPoint,http://www.w3.org/2001/XMLSchema#double,The Y coordinate of this point.
http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObjectPoint.zPosition,zPosition,http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObjectPoint,http://www.w3.org/2001/XMLSchema#double,The Z coordinate of this point.
http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObjectStyle.StyledObjects,StyledObjects,http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObjectStyle,http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObject,A style can be assigned to multiple diagram objects.
http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramStyle.Diagram,Diagram,http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramStyle,http://iec.ch/TC57/2013/CIM-schema-cim16#Diagram,A DiagramStyle can be used by many Diagrams.
http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject.DiagramObjects,DiagramObjects,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObject,The diagram objects that are associated with the domain object.
http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject.description,description,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,http://www.w3.org/2001/XMLSchema#string,The description is a free human readable text describing or naming the object. It may be non unique and may not correlate to a naming hierarchy.
http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject.mRID,mRID,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,http://www.w3.org/2001/XMLSchema#string,"Master resource identifier issued by a model authority. The mRID is unique within an exchange context. Global uniqueness is easily achieved by using a UUID, as specified in RFC 4122, for the mRID. The use of UUID is strongly recommended.
For CIMXML data files in RDF syntax conforming to IEC 61970-552, the mRID is mapped to rdf:ID or rdf:about attributes that identify CIM object elements."
http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject.name,name,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,http://www.w3.org/2001/XMLSchema#string,The name is any free human readable and possibly non unique text naming the object.
http://iec.ch/TC57/2013/CIM-schema-cim16#TextDiagramObject.text,text,http://iec.ch/TC57/2013/CIM-schema-cim16#TextDiagramObject,http://www.w3.org/2001/XMLSchema#string,The text that is displayed by this text diagram object.
http://iec.ch/TC57/2013/CIM-schema-cim16#VisibilityLayer.VisibleObjects,VisibleObjects,http://iec.ch/TC57/2013/CIM-schema-cim16#VisibilityLayer,http://iec.ch/TC57/2013/CIM-schema-cim16#DiagramObject,A visibility layer can contain one or more diagram objects.
http://iec.ch/TC57/2013/CIM-schema-cim16#VisibilityLayer.drawingOrder,drawingOrder,http://iec.ch/TC57/2013/CIM-schema-cim16#VisibilityLayer,http://www.w3.org/2001/XMLSchema#integer,"The drawing order for this layer.  The higher the number, the later the layer and the objects within it are rendered."
