property,label,domain,range,comment
http://iec.ch/TC57/2013/CIM-schema-cim16#DifferenceModel.forwardDifferences,forwardDifferences,http://iec.ch/TC57/2013/CIM-schema-cim16#DifferenceModel,http://iec.ch/TC57/2013/CIM-schema-cim16#Statements,"A property of the difference model whose value is a collection of statements (i.e., resources of type rdf:Statement) representing the forward difference statements. "
http://iec.ch/TC57/2013/CIM-schema-cim16#DifferenceModel.reverseDifferences,reverseDifferences,http://iec.ch/TC57/2013/CIM-schema-cim16#DifferenceModel,http://iec.ch/TC57/2013/CIM-schema-cim16#Statements,A property of the difference model whose value is the collection of reverse difference statements.
http://iec.ch/TC57/2013/CIM-schema-cim16#DifferenceModel.preconditions,preconditions,http://iec.ch/TC57/2013/CIM-schema-cim16#DifferenceModel,http://iec.ch/TC57/2013/CIM-schema-cim16#Statements,A property of the difference model whose value is the collection of precondition statements.
http://iec.ch/TC57/2013/CIM-schema-cim16#Model.wasRevisionOf,wasRevisionOf,http://iec.ch/TC57/2013/CIM-schema-cim16#Model,http://iec.ch/TC57/2013/CIM-schema-cim16#IRI,"A revision is a derivation for which the resulting entity is a revised version of some original. The implication here is that the resulting entity contains substantial content from the original. Revision is a particular case of derivation. 
[CIM context:
When a model is updated the resulting model supersedes the models that were used as basis for the update. Hence this is a reference to the model which are superseded by this model. A model can supersede 1 or more models, e.g. a difference model or a full model supersede multiple models (difference or full). In this case, multiple properties are included in the header. The referenced document(s) is (are) identified by the URN/MRID/UUID in the FullModel rdf:about attribute when full model(s) is (are) referenced and by the URN/MRID/UUID in the DifferenceModel rdf:about attribute when difference model(s) is (are) referenced.]."
http://iec.ch/TC57/2013/CIM-schema-cim16#Model.applicationSoftware,applicationSoftware,http://iec.ch/TC57/2013/CIM-schema-cim16#Model,http://www.w3.org/2001/XMLSchema#string,"Identifies the application software which generated this instance file. The application software term is defined in ISO/IEC/IEEE 24765:2017. The application software can be identified either:
- as a string which contains information on the software name and version, e.g. &lt;tool_name&gt;-&lt;major_version&gt;.&lt;minor_version&gt;.&lt;patch&gt;, or
- as a reference to a software identification tag as defined by ISO/IEC 19770-2:2015 and ISO/IEC/IEEE 24765:2017."
http://iec.ch/TC57/2013/CIM-schema-cim16#Model.inXSDDateTimeStamp,inXSDDateTimeStamp,http://iec.ch/TC57/2013/CIM-schema-cim16#Model,http://www.w3.org/2001/XMLSchema#dateTimeStamp,"Position of an instant, expressed using xsd:dateTimeStamp, in which the time-zone field is mandatory.
[CIM context:
The date and time that this model represents, i.e. for which the model is (or was) valid. If used in relation with hasXSDDuration it indicates the beginning of the validity period.
It is indicating either an instant (in cases where the model is only valid for a point in time) or the start time of a period. If not provided the model is considered valid for any time stamp. The format is an extended format according to the ISO 8601-2005. European exchanges shall refer to UTC.]."
http://iec.ch/TC57/2013/CIM-schema-cim16#Model.license,license,http://iec.ch/TC57/2013/CIM-schema-cim16#Model,http://www.w3.org/2001/XMLSchema#string,"A legal document giving official permission to do something with the resource. Recommended practice is to identify the license document with a URI. If this is not possible or feasible, a literal value that identifies the license may be provided.
[CIM context:
Reference to the license under which the data is made available. If no license holder is defined, then the original data provider holds the license.]."
http://iec.ch/TC57/2013/CIM-schema-cim16#Model.rightsHolder,rightsHolder,http://iec.ch/TC57/2013/CIM-schema-cim16#Model,http://www.w3.org/2001/XMLSchema#string,"Information about rights held in and over the resource. Typically, rights information includes a statement about various property rights associated with the resource, including intellectual property rights. Recommended practice is to refer to a rights statement with a URI. If this is not possible or feasible, a literal value (name, label, or short text) may be provided."
http://iec.ch/TC57/2013/CIM-schema-cim16#Model.isVersionOf,isVersionOf,http://iec.ch/TC57/2013/CIM-schema-cim16#Model,http://www.w3.org/2001/XMLSchema#string,"This resource is a version of a non-versioned or abstract resource.
This property is intended for relating a versioned resource to a non-versioned or abstract resource.

The notion of version used by this property is limited to versions resulting from revisions occurring to a resource as part of its life-cycle. Therefore, its semantics is more specific than its super-property dcterms:isVersionOf, which makes use of a broader notion of version, including editions and adaptations."
http://iec.ch/TC57/2013/CIM-schema-cim16#Model.specializationOf,specializationOf,http://iec.ch/TC57/2013/CIM-schema-cim16#Model,http://iec.ch/TC57/2013/CIM-schema-cim16#IRI,"An entity that is a specialization of another shares all aspects of the latter, and additionally presents more specific aspects of the same thing as the latter. In particular, the lifetime of the entity being specialized contains that of any specialization. Examples of aspects include a time period, an abstraction, and a context associated with the entity.
[CIM context:
Reference to modelling authority set version sourcing the model. The agent that makes a revision of a model indicates the primary source using prov:hadPrimarySource and refers to its own version of modelling authority set using this property.]."
