class,super_class,label,comment
http://iec.ch/TC57/2013/CIM-schema-cim16#ExcSEXS,http://iec.ch/TC57/2013/CIM-schema-cim16#ExcitationSystemDynamics,ExcSEXS,Simplified excitation system.
http://iec.ch/TC57/2013/CIM-schema-cim16#WindType1or2UserDefined,http://iec.ch/TC57/2013/CIM-schema-cim16#WindTurbineType1or2Dynamics,WindType1or2UserDefined,"Wind type 1 or type 2 function block whose dynamic behaviour is described by <font color=""#0f0f0f"">a user-defined model.</font>"
http://iec.ch/TC57/2013/CIM-schema-cim16#PssIEEE7C,http://iec.ch/TC57/2013/CIM-schema-cim16#PowerSystemStabilizerDynamics,PssIEEE7C,"IEEE 421.5-2016 PSS7C power system stabilizer model. This model has has exactly the same structure of the PSS2C model from the dual inputs up to the main PSS gain KS1. The phase compensation, however, is provided by a canonical state equation, similar to what is applied in the PSS6C model.

Reference: IEEE 421.5-2016, 9.12."
http://iec.ch/TC57/2013/CIM-schema-cim16#PowerSystemResource,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,PowerSystemResource,"A power system resource (PSR) can be an item of equipment such as a switch, an equipment container containing many individual items of equipment such as a substation, or an organisational entity such as sub-control area. Power system resources can have measurements associated."
http://iec.ch/TC57/2013/CIM-schema-cim16#WindTurbineType3or4IEC2,http://iec.ch/TC57/2013/CIM-schema-cim16#WindTurbineType3or4Dynamics,WindTurbineType3or4IEC2,Parent class supporting relationships to IEC wind turbines type 3 and type 4 including their control models.
http://iec.ch/TC57/2013/CIM-schema-cim16#WindAeroTwoDimIEC,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,WindAeroTwoDimIEC,"Two-dimensional aerodynamic model.  
Reference: IEC 61400-27-1:2015, 5.6.1.3."
http://iec.ch/TC57/2013/CIM-schema-cim16#ExcIEEEST6B,http://iec.ch/TC57/2013/CIM-schema-cim16#ExcitationSystemDynamics,ExcIEEEST6B,"IEEE 421.5-2005 type ST6B model. This model consists of a PI voltage regulator with an inner loop field voltage regulator and pre-control. The field voltage regulator implements a proportional control. The pre-control and the delay in the feedback circuit increase the dynamic response.
Parameter details:
<ol>
	<li>The sign of the signal Voel is not correct in IEEE 421.5-2005. The sign in IEEE 421.5-2016 shall be used.</li>
</ol>
Reference: IEEE 421.5-2005, 7.6. 
According to IEEE 421.5-2016, 8.12 the ST6B excitation system model is being superseded by the model ST6C (ExcIEEEST6C)."
http://iec.ch/TC57/2013/CIM-schema-cim16#ExcPIC,http://iec.ch/TC57/2013/CIM-schema-cim16#ExcitationSystemDynamics,ExcPIC,Proportional/integral regulator excitation system. This model can be used to represent excitation systems with a proportional-integral (PI) voltage regulator controller. 
http://iec.ch/TC57/2013/CIM-schema-cim16#DCEquipmentContainer,http://iec.ch/TC57/2013/CIM-schema-cim16#EquipmentContainer,DCEquipmentContainer,A modelling construct to provide a root class for containment of DC as well as AC equipment. The class differ from the EquipmentContaner for AC in that it may also contain DCNode-s. Hence it can contain both AC and DC equipment.
http://iec.ch/TC57/2013/CIM-schema-cim16#WindTurbineType3or4Dynamics,http://iec.ch/TC57/2013/CIM-schema-cim16#DynamicsFunctionBlock,WindTurbineType3or4Dynamics,Parent class supporting relationships to wind turbines type 3 and type 4 and wind plant including their control models.
http://iec.ch/TC57/2013/CIM-schema-cim16#SVSMO3,http://iec.ch/TC57/2013/CIM-schema-cim16#StaticVarCompensatorSystemDynamics,SVSMO3,"Static var system type SVSMO3 model. The SVSMO3 assumes a voltage source converter (VSC) based SVS. That is, the power electronic device in this case is a static compensator (STATCOM) which is an active device and at its reactive limit will act as a constant current source, rather than a constant susceptance.

Reference: Generic Static Var System Models for the Western Electricity Coordinating Council, 2011."
http://iec.ch/TC57/2013/CIM-schema-cim16#PFVArControllerType2Dynamics,http://iec.ch/TC57/2013/CIM-schema-cim16#DynamicsFunctionBlock,PFVArControllerType2Dynamics,"Power factor or VAr controller type 2 function block whose behaviour is described by reference to a standard model <font color=""#0f0f0f"">or by definition of a user-defined model.</font>"
http://iec.ch/TC57/2013/CIM-schema-cim16#WindContPType4aIEC,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,WindContPType4aIEC,"P control model type 4A.
Reference: IEC 61400-27-1:2015, 5.6.5.5."
http://iec.ch/TC57/2013/CIM-schema-cim16#ExcELIN1,http://iec.ch/TC57/2013/CIM-schema-cim16#ExcitationSystemDynamics,ExcELIN1,Static PI transformer fed excitation system ELIN (VATECH) - simplified model. This model represents an all-static excitation system. A PI voltage controller establishes a desired field current set point for a proportional current controller. The integrator of the PI controller has a follow-up input to match its signal to the present field current. A power system stabilizer with power input is included in the model.
http://iec.ch/TC57/2013/CIM-schema-cim16#WindTurbineType4aIEC2,http://iec.ch/TC57/2013/CIM-schema-cim16#WindTurbineType4IEC2,WindTurbineType4aIEC2,"Wind turbine IEC type 4A.
Reference: IEC 61400-27-1:2020, 6.2.5.2."
http://iec.ch/TC57/2013/CIM-schema-cim16#GovHydro4,http://iec.ch/TC57/2013/CIM-schema-cim16#TurbineGovernorDynamics,GovHydro4,"Hydro turbine and governor. Represents plants with straight-forward penstock configurations and hydraulic governors of the traditional 'dashpot' type. This model can be used to represent simple, Francis/Pelton or Kaplan turbines."
http://iec.ch/TC57/2013/CIM-schema-cim16#TurbIEEEGenericHRSGST,http://iec.ch/TC57/2013/CIM-schema-cim16#SteamTurbineGeneratorDynamics,TurbIEEEGenericHRSGST,"Generic heat-recovery steam generator (HRSG) and a steam turbine model.

Reference: IEEE PES-TR1, 3.2.1."
