property,label,domain,range,comment
http://iec.ch/TC57/2013/CIM-schema-cim16#GovSteamEU.tdp,tdp,http://iec.ch/TC57/2013/CIM-schema-cim16#GovSteamEU,http://www.w3.org/2001/XMLSchema#double,Derivative time constant of the power controller (<i>Tdp</i>) (&gt;= 0).  Typical value = 0.
http://iec.ch/TC57/2013/CIM-schema-cim16#ExcST1A.tb1,tb1,http://iec.ch/TC57/2013/CIM-schema-cim16#ExcST1A,http://www.w3.org/2001/XMLSchema#double,Voltage regulator time constant (<i>Tb1</i>) (&gt;= 0).  Typical value = 0.
http://iec.ch/TC57/2013/CIM-schema-cim16#PssELIN2.ts2,ts2,http://iec.ch/TC57/2013/CIM-schema-cim16#PssELIN2,http://www.w3.org/2001/XMLSchema#double,Time constant (<i>Ts2</i>) (&gt;= 0).  Typical value = 1.
http://iec.ch/TC57/2013/CIM-schema-cim16#Pss2B.t6,t6,http://iec.ch/TC57/2013/CIM-schema-cim16#Pss2B,http://www.w3.org/2001/XMLSchema#double,Time constant on signal #1 (<i>T</i><i><sub>6</sub></i>) (&gt;= 0).  Typical value = 0.
http://iec.ch/TC57/2013/CIM-schema-cim16#WindPlantPControlIEC.kwppref,kwppref,http://iec.ch/TC57/2013/CIM-schema-cim16#WindPlantPControlIEC,http://www.w3.org/2001/XMLSchema#double,Power reference gain (<i>K</i><i><sub>WPpref</sub></i>). It is a project-dependent parameter.
http://iec.ch/TC57/2013/CIM-schema-cim16#SVSMO1.uv1,uv1,http://iec.ch/TC57/2013/CIM-schema-cim16#SVSMO1,http://www.w3.org/2001/XMLSchema#double,"Under voltage setpoint 1 (UV1), below which the SVC output is limited to UVSBmax."
http://iec.ch/TC57/2013/CIM-schema-cim16#WeccREECC.vdi1v3,vdi1v3,http://iec.ch/TC57/2013/CIM-schema-cim16#WeccREECC,http://www.w3.org/2001/XMLSchema#double,Point 3 voltage of a piecewise linear curve made up of four pairs of V and I values and defines the reactive current limits in relation to value of voltage  (vdl1).
http://iec.ch/TC57/2013/CIM-schema-cim16#GovSteamEU.cic,cic,http://iec.ch/TC57/2013/CIM-schema-cim16#GovSteamEU,http://www.w3.org/2001/XMLSchema#double,"Intercept valves rate closing limit (<i>Cic</i>).  Typical value = -2,2."
http://iec.ch/TC57/2013/CIM-schema-cim16#WindContQIEC.kpq,kpq,http://iec.ch/TC57/2013/CIM-schema-cim16#WindContQIEC,http://www.w3.org/2001/XMLSchema#double,"Reactive power PI controller proportional gain (<i>K</i><i><sub>P,q</sub></i>). It is a type-dependent parameter."
http://iec.ch/TC57/2013/CIM-schema-cim16#WeccDynamics.PowerElectronicsConnection,PowerElectronicsConnection,http://iec.ch/TC57/2013/CIM-schema-cim16#WeccDynamics,http://iec.ch/TC57/2013/CIM-schema-cim16#PowerElectronicsConnection,Power electronics connection model with which this WECC dynamics model is associated.
http://iec.ch/TC57/2013/CIM-schema-cim16#ExcIEEEAC2C.vscl,vscl,http://iec.ch/TC57/2013/CIM-schema-cim16#ExcIEEEAC2C,http://www.w3.org/2001/XMLSchema#boolean,Alternate SCL input locations (Vscl). True means summation point. False means take-over.
http://iec.ch/TC57/2013/CIM-schema-cim16#GovSteamIEEEG1Aug.k1,k1,http://iec.ch/TC57/2013/CIM-schema-cim16#GovSteamIEEEG1Aug,http://www.w3.org/2001/XMLSchema#double,"Fraction of HP shaft power first boiler pass (K1). Typical value = 0,2."
http://iec.ch/TC57/2013/CIM-schema-cim16#SynchronousMachineDetailed.saturationFactor,saturationFactor,http://iec.ch/TC57/2013/CIM-schema-cim16#SynchronousMachineDetailed,http://www.w3.org/2001/XMLSchema#double,"Saturation factor at rated terminal voltage (<i>S1</i>) (&gt;= 0). Defined by defined by <i>S</i>(<i>E1</i>) in the SynchronousMachineSaturationParameters diagram.  Typical value = 0,02."
