class,super_class,label,comment
http://iec.ch/TC57/2013/CIM-schema-cim16#PowerSystemResource,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,PowerSystemResource,"A power system resource (PSR) can be an item of equipment such as a switch, an equipment container containing many individual items of equipment such as a substation, or an organisational entity such as sub-control area. Power system resources can have measurements associated."
http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,,IdentifiedObject,
http://iec.ch/TC57/2013/CIM-schema-cim16#Substation,http://iec.ch/TC57/2013/CIM-schema-cim16#EquipmentContainer,Substation,"A collection of equipment for purposes other than generation or utilization, through which electric energy in bulk is passed for the purposes of switching or modifying its characteristics. "
http://iec.ch/TC57/2013/CIM-schema-cim16#VoltageLevel,http://iec.ch/TC57/2013/CIM-schema-cim16#EquipmentContainer,VoltageLevel,"A collection of equipment at one common system voltage forming a switchgear. The equipment typically consists of breakers, busbars, instrumentation, control, regulation and protection devices as well as assemblies of all these."
http://iec.ch/TC57/2013/CIM-schema-cim16#Junction,http://iec.ch/TC57/2013/CIM-schema-cim16#Connector,Junction,A point where one or more conducting equipments are connected with zero resistance.
http://iec.ch/TC57/2013/CIM-schema-cim16#EquipmentContainer,http://iec.ch/TC57/2013/CIM-schema-cim16#ConnectivityNodeContainer,EquipmentContainer,A modelling construct to provide a root class for containing equipment. 
http://iec.ch/TC57/2013/CIM-schema-cim16#ConnectivityNodeContainer,http://iec.ch/TC57/2013/CIM-schema-cim16#PowerSystemResource,ConnectivityNodeContainer,A base class for all objects that may contain connectivity nodes or topological nodes.
http://iec.ch/TC57/2013/CIM-schema-cim16#ConductingEquipment,http://iec.ch/TC57/2013/CIM-schema-cim16#Equipment,ConductingEquipment,The parts of the AC power system that are designed to carry current or that are conductively connected through terminals.
http://iec.ch/TC57/2013/CIM-schema-cim16#Connector,http://iec.ch/TC57/2013/CIM-schema-cim16#ConductingEquipment,Connector,"A conductor, or group of conductors, with negligible impedance, that serve to connect other conducting equipment within a single substation and are modelled with a single logical terminal."
http://iec.ch/TC57/2013/CIM-schema-cim16#ConnectivityNode,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,ConnectivityNode,Connectivity nodes are points where terminals of AC conducting equipment are connected together with zero impedance.
http://iec.ch/TC57/2013/CIM-schema-cim16#Line,http://iec.ch/TC57/2013/CIM-schema-cim16#EquipmentContainer,Line,Contains equipment beyond a substation belonging to a power transmission line. 
http://iec.ch/TC57/2013/CIM-schema-cim16#Equipment,http://iec.ch/TC57/2013/CIM-schema-cim16#PowerSystemResource,Equipment,"The parts of a power system that are physical devices, electronic or mechanical."
http://iec.ch/TC57/2013/CIM-schema-cim16#SubGeographicalRegion,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,SubGeographicalRegion,A subset of a geographical region of a power system network model.
http://iec.ch/TC57/2013/CIM-schema-cim16#Bay,http://iec.ch/TC57/2013/CIM-schema-cim16#EquipmentContainer,Bay,"A collection of power system resources (within a given substation) including conducting equipment, protection relays, measurements, and telemetry.  A bay typically represents a physical grouping related to modularization of equipment."
http://iec.ch/TC57/2013/CIM-schema-cim16#EnergySchedulingType,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,EnergySchedulingType,Used to define the type of generation for scheduling purposes.
http://iec.ch/TC57/2013/CIM-schema-cim16#BoundaryPoint,http://iec.ch/TC57/2013/CIM-schema-cim16#PowerSystemResource,BoundaryPoint,"Designates a connection point at which one or more model authority sets shall connect to. The location of the connection point as well as other properties are agreed between organisations responsible for the interconnection, hence all attributes of the class represent this agreement.  It is primarily used in a boundary model authority set which can contain one or many BoundaryPoint-s among other Equipment-s and their connections."
http://iec.ch/TC57/2013/CIM-schema-cim16#GeographicalRegion,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,GeographicalRegion,A geographical region of a power system network model.
http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCTerminal,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,ACDCTerminal,An electrical connection point (AC or DC) to a piece of conducting equipment. Terminals are connected at physical connection points called connectivity nodes.
http://iec.ch/TC57/2013/CIM-schema-cim16#BaseVoltage,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,BaseVoltage,Defines a system base voltage which is referenced. 
http://iec.ch/TC57/2013/CIM-schema-cim16#Terminal,http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCTerminal,Terminal,An AC electrical connection point to a piece of conducting equipment. Terminals are connected at physical connection points called connectivity nodes.
