property,label,domain,range,comment
http://iec.ch/TC57/2013/CIM-schema-cim16#CoordinateSystem.crsUrn,crsUrn,http://iec.ch/TC57/2013/CIM-schema-cim16#CoordinateSystem,http://www.w3.org/2001/XMLSchema#string,"A Uniform Resource Name (URN) for the coordinate reference system (crs) used to define 'Location.PositionPoints'.
An example would be the European Petroleum Survey Group (EPSG) code for a coordinate reference system, defined in URN under the Open Geospatial Consortium (OGC) namespace as: urn:ogc:def:crs:EPSG::XXXX, where XXXX is an EPSG code (a full list of codes can be found at the EPSG Registry web site http://www.epsg-registry.org/). To define the coordinate system as being WGS84 (latitude, longitude) using an EPSG OGC, this attribute would be urn:ogc:def:crs:EPSG::4236.
A profile should limit this code to a set of allowed URNs agreed to by all sending and receiving parties."
http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject.mRID,mRID,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,http://www.w3.org/2001/XMLSchema#string,"Master resource identifier issued by a model authority. The mRID is unique within an exchange context. Global uniqueness is easily achieved by using a UUID, as specified in RFC 4122, for the mRID. The use of UUID is strongly recommended.
For CIMXML data files in RDF syntax conforming to IEC 61970-552, the mRID is mapped to rdf:ID or rdf:about attributes that identify CIM object elements."
http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject.name,name,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,http://www.w3.org/2001/XMLSchema#string,The name is any free human readable and possibly non unique text naming the object.
http://iec.ch/TC57/2013/CIM-schema-cim16#Location.mainAddress,mainAddress,http://iec.ch/TC57/2013/CIM-schema-cim16#Location,http://iec.ch/TC57/2013/CIM-schema-cim16#StreetAddress,Main address of the location.
http://iec.ch/TC57/2013/CIM-schema-cim16#Location.PowerSystemResources,PowerSystemResources,http://iec.ch/TC57/2013/CIM-schema-cim16#Location,http://iec.ch/TC57/2013/CIM-schema-cim16#PowerSystemResource,All power system resources at this location.
http://iec.ch/TC57/2013/CIM-schema-cim16#Location.CoordinateSystem,CoordinateSystem,http://iec.ch/TC57/2013/CIM-schema-cim16#Location,http://iec.ch/TC57/2013/CIM-schema-cim16#CoordinateSystem,Coordinate system used to describe position points of this location.
http://iec.ch/TC57/2013/CIM-schema-cim16#PositionPoint.xPosition,xPosition,http://iec.ch/TC57/2013/CIM-schema-cim16#PositionPoint,http://www.w3.org/2001/XMLSchema#string,X axis position.
http://iec.ch/TC57/2013/CIM-schema-cim16#PositionPoint.zPosition,zPosition,http://iec.ch/TC57/2013/CIM-schema-cim16#PositionPoint,http://www.w3.org/2001/XMLSchema#string,(if applicable) Z axis position.
http://iec.ch/TC57/2013/CIM-schema-cim16#PositionPoint.yPosition,yPosition,http://iec.ch/TC57/2013/CIM-schema-cim16#PositionPoint,http://www.w3.org/2001/XMLSchema#string,Y axis position.
http://iec.ch/TC57/2013/CIM-schema-cim16#PositionPoint.sequenceNumber,sequenceNumber,http://iec.ch/TC57/2013/CIM-schema-cim16#PositionPoint,http://www.w3.org/2001/XMLSchema#integer,Zero-relative sequence number of this point within a series of points.
http://iec.ch/TC57/2013/CIM-schema-cim16#PositionPoint.Location,Location,http://iec.ch/TC57/2013/CIM-schema-cim16#PositionPoint,http://iec.ch/TC57/2013/CIM-schema-cim16#Location,Location described by this position point.
http://iec.ch/TC57/2013/CIM-schema-cim16#Status.reason,reason,http://iec.ch/TC57/2013/CIM-schema-cim16#Status,http://www.w3.org/2001/XMLSchema#string,Reason code or explanation for why an object went to the current status 'value'.
http://iec.ch/TC57/2013/CIM-schema-cim16#Status.remark,remark,http://iec.ch/TC57/2013/CIM-schema-cim16#Status,http://www.w3.org/2001/XMLSchema#string,"Pertinent information regarding the current 'value', as free form text."
http://iec.ch/TC57/2013/CIM-schema-cim16#Status.value,value,http://iec.ch/TC57/2013/CIM-schema-cim16#Status,http://www.w3.org/2001/XMLSchema#string,Status value at 'dateTime'; prior status changes may have been kept in instances of activity records associated with the object to which this status applies.
http://iec.ch/TC57/2013/CIM-schema-cim16#Status.dateTime,dateTime,http://iec.ch/TC57/2013/CIM-schema-cim16#Status,https://schema.org/DateTime,Date and time for which status 'value' applies.
http://iec.ch/TC57/2013/CIM-schema-cim16#StreetAddress.townDetail,townDetail,http://iec.ch/TC57/2013/CIM-schema-cim16#StreetAddress,http://iec.ch/TC57/2013/CIM-schema-cim16#TownDetail,Town detail.
http://iec.ch/TC57/2013/CIM-schema-cim16#StreetAddress.postalCode,postalCode,http://iec.ch/TC57/2013/CIM-schema-cim16#StreetAddress,http://www.w3.org/2001/XMLSchema#string,Postal code for the address.
http://iec.ch/TC57/2013/CIM-schema-cim16#StreetAddress.streetDetail,streetDetail,http://iec.ch/TC57/2013/CIM-schema-cim16#StreetAddress,http://iec.ch/TC57/2013/CIM-schema-cim16#StreetDetail,Street detail.
http://iec.ch/TC57/2013/CIM-schema-cim16#StreetAddress.language,language,http://iec.ch/TC57/2013/CIM-schema-cim16#StreetAddress,http://www.w3.org/2001/XMLSchema#string,"The language in which the address is specified, using ISO 639-1 two digit language code."
http://iec.ch/TC57/2013/CIM-schema-cim16#StreetAddress.status,status,http://iec.ch/TC57/2013/CIM-schema-cim16#StreetAddress,http://iec.ch/TC57/2013/CIM-schema-cim16#Status,Status of this address.
http://iec.ch/TC57/2013/CIM-schema-cim16#StreetAddress.poBox,poBox,http://iec.ch/TC57/2013/CIM-schema-cim16#StreetAddress,http://www.w3.org/2001/XMLSchema#string,Post office box.
http://iec.ch/TC57/2013/CIM-schema-cim16#StreetDetail.code,code,http://iec.ch/TC57/2013/CIM-schema-cim16#StreetDetail,http://www.w3.org/2001/XMLSchema#string,"(if applicable) Utilities often make use of external reference systems, such as those of the town-planner's department or surveyor general's mapping system, that allocate global reference codes to streets."
http://iec.ch/TC57/2013/CIM-schema-cim16#StreetDetail.suiteNumber,suiteNumber,http://iec.ch/TC57/2013/CIM-schema-cim16#StreetDetail,http://www.w3.org/2001/XMLSchema#string,Number of the apartment or suite.
http://iec.ch/TC57/2013/CIM-schema-cim16#StreetDetail.floorIdentification,floorIdentification,http://iec.ch/TC57/2013/CIM-schema-cim16#StreetDetail,http://www.w3.org/2001/XMLSchema#string,"The identification by name or number, expressed as text, of the floor in the building as part of this address."
http://iec.ch/TC57/2013/CIM-schema-cim16#StreetDetail.suffix,suffix,http://iec.ch/TC57/2013/CIM-schema-cim16#StreetDetail,http://www.w3.org/2001/XMLSchema#string,"Suffix to the street name. For example: North, South, East, West."
http://iec.ch/TC57/2013/CIM-schema-cim16#StreetDetail.name,name,http://iec.ch/TC57/2013/CIM-schema-cim16#StreetDetail,http://www.w3.org/2001/XMLSchema#string,Name of the street.
http://iec.ch/TC57/2013/CIM-schema-cim16#StreetDetail.withinTownLimits,withinTownLimits,http://iec.ch/TC57/2013/CIM-schema-cim16#StreetDetail,http://www.w3.org/2001/XMLSchema#boolean,True if this street is within the legal geographical boundaries of the specified town (default).
http://iec.ch/TC57/2013/CIM-schema-cim16#StreetDetail.buildingName,buildingName,http://iec.ch/TC57/2013/CIM-schema-cim16#StreetDetail,http://www.w3.org/2001/XMLSchema#string,"(if applicable) In certain cases the physical location of the place of interest does not have a direct point of entry from the street, but may be located inside a larger structure such as a building, complex, office block, apartment, etc."
http://iec.ch/TC57/2013/CIM-schema-cim16#StreetDetail.addressGeneral3,addressGeneral3,http://iec.ch/TC57/2013/CIM-schema-cim16#StreetDetail,http://www.w3.org/2001/XMLSchema#string,(if applicable) Third line of a free form address.
http://iec.ch/TC57/2013/CIM-schema-cim16#StreetDetail.type,type,http://iec.ch/TC57/2013/CIM-schema-cim16#StreetDetail,http://www.w3.org/2001/XMLSchema#string,"Type of street. Examples include: street, circle, boulevard, avenue, road, drive, etc."
http://iec.ch/TC57/2013/CIM-schema-cim16#StreetDetail.addressGeneral2,addressGeneral2,http://iec.ch/TC57/2013/CIM-schema-cim16#StreetDetail,http://www.w3.org/2001/XMLSchema#string,(if applicable) Second line of a free form address.
http://iec.ch/TC57/2013/CIM-schema-cim16#StreetDetail.number,number,http://iec.ch/TC57/2013/CIM-schema-cim16#StreetDetail,http://www.w3.org/2001/XMLSchema#string,Designator of the specific location on the street.
http://iec.ch/TC57/2013/CIM-schema-cim16#StreetDetail.addressGeneral,addressGeneral,http://iec.ch/TC57/2013/CIM-schema-cim16#StreetDetail,http://www.w3.org/2001/XMLSchema#string,First line of a free form address or some additional address information (for example a mail stop).
http://iec.ch/TC57/2013/CIM-schema-cim16#StreetDetail.prefix,prefix,http://iec.ch/TC57/2013/CIM-schema-cim16#StreetDetail,http://www.w3.org/2001/XMLSchema#string,"Prefix to the street name. For example: North, South, East, West."
http://iec.ch/TC57/2013/CIM-schema-cim16#TownDetail.section,section,http://iec.ch/TC57/2013/CIM-schema-cim16#TownDetail,http://www.w3.org/2001/XMLSchema#string,"Town section. For example, it is common for there to be 36 sections per township."
http://iec.ch/TC57/2013/CIM-schema-cim16#TownDetail.stateOrProvince,stateOrProvince,http://iec.ch/TC57/2013/CIM-schema-cim16#TownDetail,http://www.w3.org/2001/XMLSchema#string,Name of the state or province.
http://iec.ch/TC57/2013/CIM-schema-cim16#TownDetail.code,code,http://iec.ch/TC57/2013/CIM-schema-cim16#TownDetail,http://www.w3.org/2001/XMLSchema#string,Town code.
http://iec.ch/TC57/2013/CIM-schema-cim16#TownDetail.country,country,http://iec.ch/TC57/2013/CIM-schema-cim16#TownDetail,http://www.w3.org/2001/XMLSchema#string,Name of the country.
http://iec.ch/TC57/2013/CIM-schema-cim16#TownDetail.name,name,http://iec.ch/TC57/2013/CIM-schema-cim16#TownDetail,http://www.w3.org/2001/XMLSchema#string,Town name.
