class,super_class,label,comment
http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCTerminal,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,ACDCTerminal,An electrical connection point (AC or DC) to a piece of conducting equipment. Terminals are connected at physical connection points called connectivity nodes.
http://iec.ch/TC57/2013/CIM-schema-cim16#Accumulator,http://iec.ch/TC57/2013/CIM-schema-cim16#Measurement,Accumulator,"Accumulator represents an accumulated (counted) Measurement, e.g. an energy value."
http://iec.ch/TC57/2013/CIM-schema-cim16#AccumulatorLimit,http://iec.ch/TC57/2013/CIM-schema-cim16#Limit,AccumulatorLimit,Limit values for Accumulator measurements.
http://iec.ch/TC57/2013/CIM-schema-cim16#AccumulatorLimitSet,http://iec.ch/TC57/2013/CIM-schema-cim16#LimitSet,AccumulatorLimitSet,An AccumulatorLimitSet specifies a set of Limits that are associated with an Accumulator measurement.
http://iec.ch/TC57/2013/CIM-schema-cim16#AccumulatorReset,http://iec.ch/TC57/2013/CIM-schema-cim16#Control,AccumulatorReset,This command resets the counter value to zero.
http://iec.ch/TC57/2013/CIM-schema-cim16#AccumulatorValue,http://iec.ch/TC57/2013/CIM-schema-cim16#MeasurementValue,AccumulatorValue,AccumulatorValue represents an accumulated (counted) MeasurementValue.
http://iec.ch/TC57/2013/CIM-schema-cim16#Analog,http://iec.ch/TC57/2013/CIM-schema-cim16#Measurement,Analog,Analog represents an analog Measurement.
http://iec.ch/TC57/2013/CIM-schema-cim16#AnalogControl,http://iec.ch/TC57/2013/CIM-schema-cim16#Control,AnalogControl,An analog control used for supervisory control.
http://iec.ch/TC57/2013/CIM-schema-cim16#AnalogLimit,http://iec.ch/TC57/2013/CIM-schema-cim16#Limit,AnalogLimit,Limit values for Analog measurements.
http://iec.ch/TC57/2013/CIM-schema-cim16#AnalogLimitSet,http://iec.ch/TC57/2013/CIM-schema-cim16#LimitSet,AnalogLimitSet,An AnalogLimitSet specifies a set of Limits that are associated with an Analog measurement.
http://iec.ch/TC57/2013/CIM-schema-cim16#AnalogValue,http://iec.ch/TC57/2013/CIM-schema-cim16#MeasurementValue,AnalogValue,AnalogValue represents an analog MeasurementValue.
http://iec.ch/TC57/2013/CIM-schema-cim16#Command,http://iec.ch/TC57/2013/CIM-schema-cim16#Control,Command,A Command is a discrete control used for supervisory control.
http://iec.ch/TC57/2013/CIM-schema-cim16#Control,http://iec.ch/TC57/2013/CIM-schema-cim16#IOPoint,Control,"Control is used for supervisory/device control. It represents control outputs that are used to change the state in a process, e.g. close or open breaker, a set point value or a raise lower command."
http://iec.ch/TC57/2013/CIM-schema-cim16#Discrete,http://iec.ch/TC57/2013/CIM-schema-cim16#Measurement,Discrete,"Discrete represents a discrete Measurement, i.e. a Measurement representing discrete values, e.g. a Breaker position."
http://iec.ch/TC57/2013/CIM-schema-cim16#DiscreteValue,http://iec.ch/TC57/2013/CIM-schema-cim16#MeasurementValue,DiscreteValue,DiscreteValue represents a discrete MeasurementValue.
http://iec.ch/TC57/2013/CIM-schema-cim16#IOPoint,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,IOPoint,The class describe a measurement or control value. The purpose is to enable having attributes and associations common for measurement and control.
http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,,IdentifiedObject,
http://iec.ch/TC57/2013/CIM-schema-cim16#Limit,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,Limit,"Specifies one limit value for a Measurement. A Measurement typically has several limits that are kept together by the LimitSet class. The actual meaning and use of a Limit instance (i.e., if it is an alarm or warning limit or if it is a high or low limit) is not captured in the Limit class. However the name of a Limit instance may indicate both meaning and use."
http://iec.ch/TC57/2013/CIM-schema-cim16#LimitSet,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,LimitSet,Specifies a set of Limits that are associated with a Measurement. A Measurement may have several LimitSets corresponding to seasonal or other changing conditions. The condition is captured in the name and description attributes. The same LimitSet may be used for several Measurements. In particular percentage limits are used this way.
