property,label,domain,range,comment
http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCTerminal.Measurements,Measurements,http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCTerminal,http://iec.ch/TC57/2013/CIM-schema-cim16#Measurement,"Measurements associated with this terminal defining  where the measurement is placed in the network topology.  It may be used, for instance, to capture the sensor position, such as a voltage transformer (PT) at a busbar or a current transformer (CT) at the bar between a breaker and an isolator."
http://iec.ch/TC57/2013/CIM-schema-cim16#Accumulator.AccumulatorValues,AccumulatorValues,http://iec.ch/TC57/2013/CIM-schema-cim16#Accumulator,http://iec.ch/TC57/2013/CIM-schema-cim16#AccumulatorValue,The values connected to this measurement.
http://iec.ch/TC57/2013/CIM-schema-cim16#Accumulator.LimitSets,LimitSets,http://iec.ch/TC57/2013/CIM-schema-cim16#Accumulator,http://iec.ch/TC57/2013/CIM-schema-cim16#AccumulatorLimitSet,A measurement may have zero or more limit ranges defined for it.
http://iec.ch/TC57/2013/CIM-schema-cim16#AccumulatorLimit.LimitSet,LimitSet,http://iec.ch/TC57/2013/CIM-schema-cim16#AccumulatorLimit,http://iec.ch/TC57/2013/CIM-schema-cim16#AccumulatorLimitSet,The set of limits.
http://iec.ch/TC57/2013/CIM-schema-cim16#AccumulatorLimit.value,value,http://iec.ch/TC57/2013/CIM-schema-cim16#AccumulatorLimit,http://www.w3.org/2001/XMLSchema#integer,The value to supervise against. The value is positive.
http://iec.ch/TC57/2013/CIM-schema-cim16#AccumulatorLimitSet.Limits,Limits,http://iec.ch/TC57/2013/CIM-schema-cim16#AccumulatorLimitSet,http://iec.ch/TC57/2013/CIM-schema-cim16#AccumulatorLimit,The limit values used for supervision of Measurements.
http://iec.ch/TC57/2013/CIM-schema-cim16#AccumulatorLimitSet.Measurements,Measurements,http://iec.ch/TC57/2013/CIM-schema-cim16#AccumulatorLimitSet,http://iec.ch/TC57/2013/CIM-schema-cim16#Accumulator,The Measurements using the LimitSet.
http://iec.ch/TC57/2013/CIM-schema-cim16#AccumulatorReset.AccumulatorValue,AccumulatorValue,http://iec.ch/TC57/2013/CIM-schema-cim16#AccumulatorReset,http://iec.ch/TC57/2013/CIM-schema-cim16#AccumulatorValue,The accumulator value that is reset by the command.
http://iec.ch/TC57/2013/CIM-schema-cim16#AccumulatorValue.Accumulator,Accumulator,http://iec.ch/TC57/2013/CIM-schema-cim16#AccumulatorValue,http://iec.ch/TC57/2013/CIM-schema-cim16#Accumulator,Measurement to which this value is connected.
http://iec.ch/TC57/2013/CIM-schema-cim16#AccumulatorValue.AccumulatorReset,AccumulatorReset,http://iec.ch/TC57/2013/CIM-schema-cim16#AccumulatorValue,http://iec.ch/TC57/2013/CIM-schema-cim16#AccumulatorReset,The command that resets the accumulator value.
