property,label,domain,range,comment
http://iec.ch/TC57/2013/CIM-schema-cim16#ACLineSegment.b0ch,b0ch,http://iec.ch/TC57/2013/CIM-schema-cim16#ACLineSegment,http://www.w3.org/2001/XMLSchema#double,"Zero sequence shunt (charging) susceptance, uniformly distributed, of the entire line section."
http://iec.ch/TC57/2013/CIM-schema-cim16#ACLineSegment.g0ch,g0ch,http://iec.ch/TC57/2013/CIM-schema-cim16#ACLineSegment,http://www.w3.org/2001/XMLSchema#double,"Zero sequence shunt (charging) conductance, uniformly distributed, of the entire line section."
http://iec.ch/TC57/2013/CIM-schema-cim16#ACLineSegment.r0,r0,http://iec.ch/TC57/2013/CIM-schema-cim16#ACLineSegment,http://www.w3.org/2001/XMLSchema#double,Zero sequence series resistance of the entire line section.
http://iec.ch/TC57/2013/CIM-schema-cim16#ACLineSegment.shortCircuitEndTemperature,shortCircuitEndTemperature,http://iec.ch/TC57/2013/CIM-schema-cim16#ACLineSegment,http://www.w3.org/2001/XMLSchema#double,Maximum permitted temperature at the end of SC for the calculation of minimum short-circuit currents. Used for short circuit data exchange according to IEC 60909.
http://iec.ch/TC57/2013/CIM-schema-cim16#ACLineSegment.x0,x0,http://iec.ch/TC57/2013/CIM-schema-cim16#ACLineSegment,http://www.w3.org/2001/XMLSchema#double,Zero sequence series reactance of the entire line section.
http://iec.ch/TC57/2013/CIM-schema-cim16#AsynchronousMachine.converterFedDrive,converterFedDrive,http://iec.ch/TC57/2013/CIM-schema-cim16#AsynchronousMachine,http://www.w3.org/2001/XMLSchema#boolean,Indicates whether the machine is a converter fed drive. Used for short circuit data exchange according to IEC 60909.
http://iec.ch/TC57/2013/CIM-schema-cim16#AsynchronousMachine.efficiency,efficiency,http://iec.ch/TC57/2013/CIM-schema-cim16#AsynchronousMachine,http://www.w3.org/2001/XMLSchema#double,Efficiency of the asynchronous machine at nominal operation as a percentage. Indicator for converter drive motors. Used for short circuit data exchange according to IEC 60909.
http://iec.ch/TC57/2013/CIM-schema-cim16#AsynchronousMachine.iaIrRatio,iaIrRatio,http://iec.ch/TC57/2013/CIM-schema-cim16#AsynchronousMachine,http://www.w3.org/2001/XMLSchema#double,Ratio of locked-rotor current to the rated current of the motor (Ia/Ir). Used for short circuit data exchange according to IEC 60909.
http://iec.ch/TC57/2013/CIM-schema-cim16#AsynchronousMachine.polePairNumber,polePairNumber,http://iec.ch/TC57/2013/CIM-schema-cim16#AsynchronousMachine,http://www.w3.org/2001/XMLSchema#integer,Number of pole pairs of stator. Used for short circuit data exchange according to IEC 60909.
http://iec.ch/TC57/2013/CIM-schema-cim16#AsynchronousMachine.ratedMechanicalPower,ratedMechanicalPower,http://iec.ch/TC57/2013/CIM-schema-cim16#AsynchronousMachine,http://www.w3.org/2001/XMLSchema#double,Rated mechanical power (Pr in IEC 60909-0). Used for short circuit data exchange according to IEC 60909.
