property,label,domain,range,comment
http://iec.ch/TC57/2013/CIM-schema-cim16#Curve.curveStyle,curveStyle,http://iec.ch/TC57/2013/CIM-schema-cim16#Curve,http://www.w3.org/2001/XMLSchema#string,The style or shape of the curve.
http://iec.ch/TC57/2013/CIM-schema-cim16#Curve.xMultiplier,xMultiplier,http://iec.ch/TC57/2013/CIM-schema-cim16#Curve,http://www.w3.org/2001/XMLSchema#string,Multiplier for X-axis.
http://iec.ch/TC57/2013/CIM-schema-cim16#Curve.xUnit,xUnit,http://iec.ch/TC57/2013/CIM-schema-cim16#Curve,http://www.w3.org/2001/XMLSchema#string,The X-axis units of measure.
http://iec.ch/TC57/2013/CIM-schema-cim16#Curve.y1Multiplier,y1Multiplier,http://iec.ch/TC57/2013/CIM-schema-cim16#Curve,http://www.w3.org/2001/XMLSchema#string,Multiplier for Y1-axis.
http://iec.ch/TC57/2013/CIM-schema-cim16#Curve.y1Unit,y1Unit,http://iec.ch/TC57/2013/CIM-schema-cim16#Curve,http://www.w3.org/2001/XMLSchema#string,The Y1-axis units of measure.
http://iec.ch/TC57/2013/CIM-schema-cim16#Curve.y2Multiplier,y2Multiplier,http://iec.ch/TC57/2013/CIM-schema-cim16#Curve,http://www.w3.org/2001/XMLSchema#string,Multiplier for Y2-axis.
http://iec.ch/TC57/2013/CIM-schema-cim16#Curve.y2Unit,y2Unit,http://iec.ch/TC57/2013/CIM-schema-cim16#Curve,http://www.w3.org/2001/XMLSchema#string,The Y2-axis units of measure.
http://iec.ch/TC57/2013/CIM-schema-cim16#Curve.y3Multiplier,y3Multiplier,http://iec.ch/TC57/2013/CIM-schema-cim16#Curve,http://www.w3.org/2001/XMLSchema#string,Multiplier for Y3-axis.
http://iec.ch/TC57/2013/CIM-schema-cim16#Curve.y3Unit,y3Unit,http://iec.ch/TC57/2013/CIM-schema-cim16#Curve,http://www.w3.org/2001/XMLSchema#string,The Y3-axis units of measure.
http://iec.ch/TC57/2013/CIM-schema-cim16#CurveData.Curve,Curve,http://iec.ch/TC57/2013/CIM-schema-cim16#CurveData,http://iec.ch/TC57/2013/CIM-schema-cim16#Curve,The curve of  this curve data point.
http://iec.ch/TC57/2013/CIM-schema-cim16#CurveData.xvalue,xvalue,http://iec.ch/TC57/2013/CIM-schema-cim16#CurveData,http://www.w3.org/2001/XMLSchema#double,"The data value of the X-axis variable,  depending on the X-axis units."
http://iec.ch/TC57/2013/CIM-schema-cim16#CurveData.y1value,y1value,http://iec.ch/TC57/2013/CIM-schema-cim16#CurveData,http://www.w3.org/2001/XMLSchema#double,"The data value of the  first Y-axis variable, depending on the Y-axis units."
http://iec.ch/TC57/2013/CIM-schema-cim16#CurveData.y2value,y2value,http://iec.ch/TC57/2013/CIM-schema-cim16#CurveData,http://www.w3.org/2001/XMLSchema#double,"The data value of the second Y-axis variable (if present), depending on the Y-axis units."
http://iec.ch/TC57/2013/CIM-schema-cim16#CurveData.y3value,y3value,http://iec.ch/TC57/2013/CIM-schema-cim16#CurveData,http://www.w3.org/2001/XMLSchema#double,"The data value of the third Y-axis variable (if present), depending on the Y-axis units."
http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject.description,description,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,http://www.w3.org/2001/XMLSchema#string,The description is a free human readable text describing or naming the object. It may be non unique and may not correlate to a naming hierarchy.
http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject.mRID,mRID,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,http://www.w3.org/2001/XMLSchema#string,"Master resource identifier issued by a model authority. The mRID is unique within an exchange context. Global uniqueness is easily achieved by using a UUID, as specified in RFC 4122, for the mRID. The use of UUID is strongly recommended.
For CIMXML data files in RDF syntax conforming to IEC 61970-552, the mRID is mapped to rdf:ID or rdf:about attributes that identify CIM object elements."
http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject.name,name,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,http://www.w3.org/2001/XMLSchema#string,The name is any free human readable and possibly non unique text naming the object.
http://iec.ch/TC57/2013/CIM-schema-cim16#SimulationResult.SignalConfiguration,SignalConfiguration,http://iec.ch/TC57/2013/CIM-schema-cim16#SimulationResult,http://iec.ch/TC57/2013/CIM-schema-cim16#SignalConfiguration,The simulation configuration that is part of the simulation result.
http://iec.ch/TC57/2013/CIM-schema-cim16#SimulationResult.SimulationEvents,SimulationEvents,http://iec.ch/TC57/2013/CIM-schema-cim16#SimulationResult,http://iec.ch/TC57/2013/CIM-schema-cim16#SimulationEvents,The simulation events that are part of the simulation result.
http://iec.ch/TC57/2013/CIM-schema-cim16#SimulationResult.SimulationSettings,SimulationSettings,http://iec.ch/TC57/2013/CIM-schema-cim16#SimulationResult,http://iec.ch/TC57/2013/CIM-schema-cim16#SimulationSettings,The simulation settings that are part of the simulation result.
http://iec.ch/TC57/2013/CIM-schema-cim16#SimulationResultCharacteristic.SimulationResult,SimulationResult,http://iec.ch/TC57/2013/CIM-schema-cim16#SimulationResultCharacteristic,http://iec.ch/TC57/2013/CIM-schema-cim16#SimulationResult,The simulation reslut to which this simulation result characteristic belongs to.
http://iec.ch/TC57/2013/CIM-schema-cim16#SimulationResultCharacteristic.resultReference,resultReference,http://iec.ch/TC57/2013/CIM-schema-cim16#SimulationResultCharacteristic,http://iec.ch/TC57/2013/CIM-schema-cim16#IRI,Reference to an artifact containing the data for the characteristic. This can be a reference to comma separated file or other serialization.
http://iec.ch/TC57/2013/CIM-schema-cim16#SimulationResultCharacteristic.y1valueSignal,y1valueSignal,http://iec.ch/TC57/2013/CIM-schema-cim16#SimulationResultCharacteristic,http://iec.ch/TC57/2013/CIM-schema-cim16#SignalRecorder,The signal for y1value of the characteristic.
http://iec.ch/TC57/2013/CIM-schema-cim16#SimulationResultCharacteristic.y2valueSignal,y2valueSignal,http://iec.ch/TC57/2013/CIM-schema-cim16#SimulationResultCharacteristic,http://iec.ch/TC57/2013/CIM-schema-cim16#SignalRecorder,The signal for y2value of the characteristic.
