property,label,domain,range,comment
http://iec.ch/TC57/2013/CIM-schema-cim16#ClearSimulationEvent.ClearedParameterEvent,ClearedParameterEvent,http://iec.ch/TC57/2013/CIM-schema-cim16#ClearSimulationEvent,http://iec.ch/TC57/2013/CIM-schema-cim16#ParameterEvent,The parameter event that is cleared by a ClearSimulationEvent.
http://iec.ch/TC57/2013/CIM-schema-cim16#ClearSimulationEvent.SimulationEvents,SimulationEvents,http://iec.ch/TC57/2013/CIM-schema-cim16#ClearSimulationEvent,http://iec.ch/TC57/2013/CIM-schema-cim16#SimulationEvents,The simulation events to which this clear simulation event belongs to.
http://iec.ch/TC57/2013/CIM-schema-cim16#ClearSimulationEvent.eventTime,eventTime,http://iec.ch/TC57/2013/CIM-schema-cim16#ClearSimulationEvent,http://www.w3.org/2001/XMLSchema#double,Execution time of the event. It is relative to the start of the simulation.
http://iec.ch/TC57/2013/CIM-schema-cim16#EquipmentFault.Terminal,Terminal,http://iec.ch/TC57/2013/CIM-schema-cim16#EquipmentFault,http://iec.ch/TC57/2013/CIM-schema-cim16#Terminal,The terminal connecting to the bus to which the fault is applied.
http://iec.ch/TC57/2013/CIM-schema-cim16#Fault.FaultyEquipment,FaultyEquipment,http://iec.ch/TC57/2013/CIM-schema-cim16#Fault,http://iec.ch/TC57/2013/CIM-schema-cim16#Equipment,Equipment carrying this fault.
http://iec.ch/TC57/2013/CIM-schema-cim16#Fault.FaultCauseTypes,FaultCauseTypes,http://iec.ch/TC57/2013/CIM-schema-cim16#Fault,http://iec.ch/TC57/2013/CIM-schema-cim16#FaultCauseType,All types of fault cause.
http://iec.ch/TC57/2013/CIM-schema-cim16#Fault.occurredDateTime,occurredDateTime,http://iec.ch/TC57/2013/CIM-schema-cim16#Fault,https://schema.org/DateTime,The date and time at which the fault occurred.
http://iec.ch/TC57/2013/CIM-schema-cim16#Fault.ClearSimulationEvent,ClearSimulationEvent,http://iec.ch/TC57/2013/CIM-schema-cim16#Fault,http://iec.ch/TC57/2013/CIM-schema-cim16#ClearSimulationEvent,The event that clears this fault event.
http://iec.ch/TC57/2013/CIM-schema-cim16#Fault.SimulationEvents,SimulationEvents,http://iec.ch/TC57/2013/CIM-schema-cim16#Fault,http://iec.ch/TC57/2013/CIM-schema-cim16#SimulationEvents,The simulation events to which this simulation fault event belongs to.
http://iec.ch/TC57/2013/CIM-schema-cim16#Fault.impedance,impedance,http://iec.ch/TC57/2013/CIM-schema-cim16#Fault,http://iec.ch/TC57/2013/CIM-schema-cim16#FaultImpedance,Fault impedance. Its usage is described by 'kind'.
