property,label,domain,range,comment
http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCConverter.idc,idc,http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCConverter,http://www.w3.org/2001/XMLSchema#double,"Converter DC current, also called Id. It is converter’s state variable, result from power flow."
http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCConverter.poleLossP,poleLossP,http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCConverter,http://www.w3.org/2001/XMLSchema#double,"The active power loss at a DC Pole 
= idleLoss + switchingLoss*|Idc| + resitiveLoss*Idc^2.
For lossless operation Pdc=Pac.
For rectifier operation with losses Pdc=Pac-lossP.
For inverter operation with losses Pdc=Pac+lossP.
It is converter’s state variable used in power flow. The attribute shall be a positive value."
http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCConverter.uc,uc,http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCConverter,http://www.w3.org/2001/XMLSchema#double,"Line-to-line converter voltage, the voltage at the AC side of the valve. It is converter’s state variable, result from power flow. The attribute shall be a positive value."
http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCConverter.udc,udc,http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCConverter,http://www.w3.org/2001/XMLSchema#double,"Converter voltage at the DC side, also called Ud. It is converter’s state variable, result from power flow. The attribute shall be a positive value."
http://iec.ch/TC57/2013/CIM-schema-cim16#CsConverter.alpha,alpha,http://iec.ch/TC57/2013/CIM-schema-cim16#CsConverter,http://www.w3.org/2001/XMLSchema#double,"Firing angle that determines the dc voltage at the converter dc terminal. Typical value between 10 degrees and 18 degrees for a rectifier. It is converter’s state variable, result from power flow. The attribute shall be a positive value."
http://iec.ch/TC57/2013/CIM-schema-cim16#CsConverter.gamma,gamma,http://iec.ch/TC57/2013/CIM-schema-cim16#CsConverter,http://www.w3.org/2001/XMLSchema#double,"Extinction angle. It is used to limit the dc voltage at the inverter if needed. Typical value between 17 degrees and 20 degrees for an inverter. It is converter’s state variable, result from power flow. The attribute shall be a positive value."
http://iec.ch/TC57/2013/CIM-schema-cim16#DCTopologicalIsland.DCTopologicalNodes,DCTopologicalNodes,http://iec.ch/TC57/2013/CIM-schema-cim16#DCTopologicalIsland,http://iec.ch/TC57/2013/CIM-schema-cim16#DCTopologicalNode,The DC topological nodes in a DC topological island.
http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject.mRID,mRID,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,http://www.w3.org/2001/XMLSchema#string,"Master resource identifier issued by a model authority. The mRID is unique within an exchange context. Global uniqueness is easily achieved by using a UUID, as specified in RFC 4122, for the mRID. The use of UUID is strongly recommended.
For CIMXML data files in RDF syntax conforming to IEC 61970-552, the mRID is mapped to rdf:ID or rdf:about attributes that identify CIM object elements."
http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject.name,name,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,http://www.w3.org/2001/XMLSchema#string,The name is any free human readable and possibly non unique text naming the object.
http://iec.ch/TC57/2013/CIM-schema-cim16#SvInjection.TopologicalNode,TopologicalNode,http://iec.ch/TC57/2013/CIM-schema-cim16#SvInjection,http://iec.ch/TC57/2013/CIM-schema-cim16#TopologicalNode,The topological node associated with the flow injection state variable.
