class,super_class,label,comment
http://iec.ch/TC57/2013/CIM-schema-cim16#PowerSystemResource,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,PowerSystemResource,"A power system resource (PSR) can be an item of equipment such as a switch, an equipment container containing many individual items of equipment such as a substation, or an organisational entity such as sub-control area. Power system resources can have measurements associated."
http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,,IdentifiedObject,
http://iec.ch/TC57/2013/CIM-schema-cim16#PowerElectronicsUnit,http://iec.ch/TC57/2013/CIM-schema-cim16#Equipment,PowerElectronicsUnit,A generating unit or battery or aggregation that connects to the AC network using power electronics rather than rotating machines.
http://iec.ch/TC57/2013/CIM-schema-cim16#OperationalLimit,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,OperationalLimit,"A value and normal value associated with a specific kind of limit. 
The sub class value and normalValue attributes vary inversely to the associated OperationalLimitType.acceptableDuration (acceptableDuration for short).  
If a particular piece of equipment has multiple operational limits of the same kind (apparent power, current, etc.), the limit with the greatest acceptableDuration shall have the smallest limit value and the limit with the smallest acceptableDuration shall have the largest limit value.  Note: A large current can only be allowed to flow through a piece of equipment for a short duration without causing damage, but a lesser current can be allowed to flow for a longer duration. "
http://iec.ch/TC57/2013/CIM-schema-cim16#ShuntCompensator,http://iec.ch/TC57/2013/CIM-schema-cim16#RegulatingCondEq,ShuntCompensator,A shunt capacitor or reactor or switchable bank of shunt capacitors or reactors. A section of a shunt compensator is an individual capacitor or reactor. A negative value for bPerSection indicates that the compensator is a reactor. ShuntCompensator is a single terminal device.  Ground is implied.
http://iec.ch/TC57/2013/CIM-schema-cim16#CsConverter,http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCConverter,CsConverter,"DC side of the current source converter (CSC).
The firing angle controls the dc voltage at the converter, both for rectifier and inverter. The difference between the dc voltages of the rectifier and inverter determines the dc current. The extinction angle is used to limit the dc voltage at the inverter, if needed, and is not used in active power control. The firing angle, transformer tap position and number of connected filters are the primary means to control a current source dc line. Higher level controls are built on top, e.g. dc voltage, dc current and active power. From a steady state perspective it is sufficient to specify the wanted active power transfer (ACDCConverter.targetPpcc) and the control functions will set the dc voltage, dc current, firing angle, transformer tap position and number of connected filters to meet this. Therefore attributes targetAlpha and targetGamma are not applicable in this case.
The reactive power consumed by the converter is a function of the firing angle, transformer tap position and number of connected filter, which can be approximated with half of the active power. The losses is a function of the dc voltage and dc current.
The attributes minAlpha and maxAlpha define the range of firing angles for rectifier operation between which no discrete tap changer action takes place. The range is typically 10-18 degrees.
The attributes minGamma and maxGamma define the range of extinction angles for inverter operation between which no discrete tap changer action takes place. The range is typically 17-20 degrees."
http://iec.ch/TC57/2013/CIM-schema-cim16#EnergyConnection,http://iec.ch/TC57/2013/CIM-schema-cim16#ConductingEquipment,EnergyConnection,A connection of energy generation or consumption on the power system model.
http://iec.ch/TC57/2013/CIM-schema-cim16#RatioTapChanger,http://iec.ch/TC57/2013/CIM-schema-cim16#TapChanger,RatioTapChanger,"A tap changer that changes the voltage ratio impacting the voltage magnitude but not the phase angle across the transformer.

Angle sign convention (general): Positive value indicates a positive phase shift from the winding where the tap is located to the other winding (for a two-winding transformer)."
http://iec.ch/TC57/2013/CIM-schema-cim16#DCBaseTerminal,http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCTerminal,DCBaseTerminal,An electrical connection point at a piece of DC conducting equipment. DC terminals are connected at one physical DC node that may have multiple DC terminals connected. A DC node is similar to an AC connectivity node. The model requires that DC connections are distinct from AC connections. 
http://iec.ch/TC57/2013/CIM-schema-cim16#PhaseTapChangerSymmetrical,http://iec.ch/TC57/2013/CIM-schema-cim16#PhaseTapChangerNonLinear,PhaseTapChangerSymmetrical,Describes a symmetrical phase shifting transformer tap model in which the voltage magnitude of both sides is the same. The difference voltage magnitude is the base in an equal-sided triangle where the sides corresponds to the primary and secondary voltages. The phase angle difference corresponds to the top angle and can be expressed as twice the arctangent of half the total difference voltage.
http://iec.ch/TC57/2013/CIM-schema-cim16#Fuse,http://iec.ch/TC57/2013/CIM-schema-cim16#Switch,Fuse,An overcurrent protective device with a circuit opening fusible part that is heated and severed by the passage of overcurrent through it. A fuse is considered a switching device because it breaks current.
http://iec.ch/TC57/2013/CIM-schema-cim16#LinearShuntCompensator,http://iec.ch/TC57/2013/CIM-schema-cim16#ShuntCompensator,LinearShuntCompensator,A linear shunt compensator has banks or sections with equal admittance values.
http://iec.ch/TC57/2013/CIM-schema-cim16#EquivalentEquipment,http://iec.ch/TC57/2013/CIM-schema-cim16#ConductingEquipment,EquivalentEquipment,The class represents equivalent objects that are the result of a network reduction. The class is the base for equivalent objects of different types.
http://iec.ch/TC57/2013/CIM-schema-cim16#PhaseTapChangerNonLinear,http://iec.ch/TC57/2013/CIM-schema-cim16#PhaseTapChanger,PhaseTapChangerNonLinear,The non-linear phase tap changer describes the non-linear behaviour of a phase tap changer. This is a base class for the symmetrical and asymmetrical phase tap changer models. The details of these models can be found in IEC 61970-301.
http://iec.ch/TC57/2013/CIM-schema-cim16#GroundDisconnector,http://iec.ch/TC57/2013/CIM-schema-cim16#Switch,GroundDisconnector,A manually operated or motor operated mechanical switching device used for isolating a circuit or equipment from ground.
http://iec.ch/TC57/2013/CIM-schema-cim16#VoltageLimit,http://iec.ch/TC57/2013/CIM-schema-cim16#OperationalLimit,VoltageLimit,"Operational limit applied to voltage.
The use of operational VoltageLimit is preferred instead of limits defined at VoltageLevel. The operational VoltageLimits are used, if present."
http://iec.ch/TC57/2013/CIM-schema-cim16#LoadBreakSwitch,http://iec.ch/TC57/2013/CIM-schema-cim16#ProtectedSwitch,LoadBreakSwitch,"A mechanical switching device capable of making, carrying, and breaking currents under normal operating conditions."
http://iec.ch/TC57/2013/CIM-schema-cim16#BatteryUnit,http://iec.ch/TC57/2013/CIM-schema-cim16#PowerElectronicsUnit,BatteryUnit,An electrochemical energy storage device.
http://iec.ch/TC57/2013/CIM-schema-cim16#NonConformLoad,http://iec.ch/TC57/2013/CIM-schema-cim16#EnergyConsumer,NonConformLoad,NonConformLoad represents loads that do not follow a daily load change pattern and whose changes are not correlated with the daily load change pattern.
http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCConverter,http://iec.ch/TC57/2013/CIM-schema-cim16#ConductingEquipment,ACDCConverter,"A unit with valves for three phases, together with unit control equipment, essential protective and switching devices, DC storage capacitors, phase reactors and auxiliaries, if any, used for conversion."
http://iec.ch/TC57/2013/CIM-schema-cim16#EnergyConsumer,http://iec.ch/TC57/2013/CIM-schema-cim16#EnergyConnection,EnergyConsumer,"Generic user of energy - a  point of consumption on the power system model.
EnergyConsumer.pfixed, .qfixed, .pfixedPct and .qfixedPct have meaning only if there is no LoadResponseCharacteristic associated with EnergyConsumer or if LoadResponseCharacteristic.exponentModel is set to False."
http://iec.ch/TC57/2013/CIM-schema-cim16#StationSupply,http://iec.ch/TC57/2013/CIM-schema-cim16#EnergyConsumer,StationSupply,Station supply with load derived from the station output.
http://iec.ch/TC57/2013/CIM-schema-cim16#ApparentPowerLimit,http://iec.ch/TC57/2013/CIM-schema-cim16#OperationalLimit,ApparentPowerLimit,Apparent power limit.
http://iec.ch/TC57/2013/CIM-schema-cim16#Disconnector,http://iec.ch/TC57/2013/CIM-schema-cim16#Switch,Disconnector,"A manually operated or motor operated mechanical switching device used for changing the connections in a circuit, or for isolating a circuit or equipment from a source of power. It is required to open or close circuits when negligible current is broken or made. "
http://iec.ch/TC57/2013/CIM-schema-cim16#PhaseTapChanger,http://iec.ch/TC57/2013/CIM-schema-cim16#TapChanger,PhaseTapChanger,A transformer phase shifting tap model that controls the phase angle difference across the power transformer and potentially the active power flow through the power transformer.  This phase tap model may also impact the voltage magnitude.
http://iec.ch/TC57/2013/CIM-schema-cim16#StaticVarCompensator,http://iec.ch/TC57/2013/CIM-schema-cim16#RegulatingCondEq,StaticVarCompensator,"A facility for providing variable and controllable shunt reactive power. The SVC typically consists of a stepdown transformer, filter, thyristor-controlled reactor, and thyristor-switched capacitor arms.

The SVC may operate in fixed MVar output mode or in voltage control mode. When in voltage control mode, the output of the SVC will be proportional to the deviation of voltage at the controlled bus from the voltage setpoint.  The SVC characteristic slope defines the proportion.  If the voltage at the controlled bus is equal to the voltage setpoint, the SVC MVar output is zero."
http://iec.ch/TC57/2013/CIM-schema-cim16#ConductingEquipment,http://iec.ch/TC57/2013/CIM-schema-cim16#Equipment,ConductingEquipment,The parts of the AC power system that are designed to carry current or that are conductively connected through terminals.
http://iec.ch/TC57/2013/CIM-schema-cim16#RotatingMachine,http://iec.ch/TC57/2013/CIM-schema-cim16#RegulatingCondEq,RotatingMachine,A rotating machine which may be used as a generator or motor.
http://iec.ch/TC57/2013/CIM-schema-cim16#ControlArea,http://iec.ch/TC57/2013/CIM-schema-cim16#PowerSystemResource,ControlArea,"A control area is a grouping of generating units and/or loads and a cutset of tie lines (as terminals) which may be used for a variety of purposes including automatic generation control, power flow solution area interchange control specification, and input to load forecasting. All generation and load within the area defined by the terminals on the border are considered in the area interchange control. Note that any number of overlapping control area specifications can be superimposed on the physical model. The following general principles apply to ControlArea:
1.  The control area orientation for net interchange is positive for an import, negative for an export.
2.  The control area net interchange is determined by summing flows in Terminals. The Terminals are identified by creating a set of TieFlow objects associated with a ControlArea object. Each TieFlow object identifies one Terminal.
3.  In a single network model, a tie between two control areas must be modelled in both control area specifications, such that the two representations of the tie flow sum to zero.
4.  The normal orientation of Terminal flow is positive for flow into the conducting equipment that owns the Terminal. (i.e. flow from a bus into a device is positive.) However, the orientation of each flow in the control area specification must align with the control area convention, i.e. import is positive. If the orientation of the Terminal flow referenced by a TieFlow is positive into the control area, then this is confirmed by setting TieFlow.positiveFlowIn flag TRUE. If not, the orientation must be reversed by setting the TieFlow.positiveFlowIn flag FALSE."
http://iec.ch/TC57/2013/CIM-schema-cim16#NuclearGeneratingUnit,http://iec.ch/TC57/2013/CIM-schema-cim16#GeneratingUnit,NuclearGeneratingUnit,A nuclear generating unit.
http://iec.ch/TC57/2013/CIM-schema-cim16#TapChangerControl,http://iec.ch/TC57/2013/CIM-schema-cim16#RegulatingControl,TapChangerControl,"Describes behaviour specific to tap changers, e.g. how the voltage at the end of a line varies with the load level and compensation of the voltage drop by tap adjustment."
http://iec.ch/TC57/2013/CIM-schema-cim16#CurrentLimit,http://iec.ch/TC57/2013/CIM-schema-cim16#OperationalLimit,CurrentLimit,Operational limit on current. 
http://iec.ch/TC57/2013/CIM-schema-cim16#PhaseTapChangerAsymmetrical,http://iec.ch/TC57/2013/CIM-schema-cim16#PhaseTapChangerNonLinear,PhaseTapChangerAsymmetrical,Describes the tap model for an asymmetrical phase shifting transformer in which the difference voltage vector adds to the in-phase winding. The out-of-phase winding is the transformer end where the tap changer is located.  The angle between the in-phase and out-of-phase windings is named the winding connection angle. The phase shift depends on both the difference voltage magnitude and the winding connection angle.
http://iec.ch/TC57/2013/CIM-schema-cim16#EnergySource,http://iec.ch/TC57/2013/CIM-schema-cim16#EnergyConnection,EnergySource,A generic equivalent for an energy supplier on a transmission or distribution voltage level.
http://iec.ch/TC57/2013/CIM-schema-cim16#SolarGeneratingUnit,http://iec.ch/TC57/2013/CIM-schema-cim16#GeneratingUnit,SolarGeneratingUnit,"A solar thermal generating unit, connected to the grid by means of a rotating machine.  This class does not represent photovoltaic (PV) generation."
http://iec.ch/TC57/2013/CIM-schema-cim16#DisconnectingCircuitBreaker,http://iec.ch/TC57/2013/CIM-schema-cim16#Breaker,DisconnectingCircuitBreaker,"A circuit breaking device including disconnecting function, eliminating the need for separate disconnectors."
http://iec.ch/TC57/2013/CIM-schema-cim16#AsynchronousMachine,http://iec.ch/TC57/2013/CIM-schema-cim16#RotatingMachine,AsynchronousMachine,"A rotating machine whose shaft rotates asynchronously with the electrical field.  Also known as an induction machine with no external connection to the rotor windings, e.g. squirrel-cage induction machine."
http://iec.ch/TC57/2013/CIM-schema-cim16#ExternalNetworkInjection,http://iec.ch/TC57/2013/CIM-schema-cim16#RegulatingCondEq,ExternalNetworkInjection,This class represents the external network and it is used for IEC 60909 calculations.
http://iec.ch/TC57/2013/CIM-schema-cim16#EquivalentInjection,http://iec.ch/TC57/2013/CIM-schema-cim16#EquivalentEquipment,EquivalentInjection,This class represents equivalent injections (generation or load).  Voltage regulation is allowed only at the point of connection.
http://iec.ch/TC57/2013/CIM-schema-cim16#NonlinearShuntCompensator,http://iec.ch/TC57/2013/CIM-schema-cim16#ShuntCompensator,NonlinearShuntCompensator,"A non linear shunt compensator has bank or section admittance values that differ. The attributes g, b, g0 and b0 of the associated NonlinearShuntCompensatorPoint describe the total conductance and admittance of a NonlinearShuntCompensatorPoint at a section number specified by NonlinearShuntCompensatorPoint.sectionNumber."
http://iec.ch/TC57/2013/CIM-schema-cim16#PowerElectronicsConnection,http://iec.ch/TC57/2013/CIM-schema-cim16#RegulatingCondEq,PowerElectronicsConnection,A connection to the AC network for energy production or consumption that uses power electronics rather than rotating machines.
http://iec.ch/TC57/2013/CIM-schema-cim16#TapChanger,http://iec.ch/TC57/2013/CIM-schema-cim16#PowerSystemResource,TapChanger,Mechanism for changing transformer winding tap positions.
http://iec.ch/TC57/2013/CIM-schema-cim16#Switch,http://iec.ch/TC57/2013/CIM-schema-cim16#ConductingEquipment,Switch,"A generic device designed to close, or open, or both, one or more electric circuits.  All switches are two terminal devices including grounding switches. The ACDCTerminal.connected at the two sides of the switch shall not be considered for assessing switch connectivity, i.e. only Switch.open, .normalOpen and .locked are relevant."
