property,label,domain,range,comment
http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCConverter.p,p,http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCConverter,http://www.w3.org/2001/XMLSchema#double,"Active power at the point of common coupling. Load sign convention is used, i.e. positive sign means flow out from a node.
Starting value for a steady state solution in the case a simplified power flow model is used."
http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCConverter.targetUdc,targetUdc,http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCConverter,http://www.w3.org/2001/XMLSchema#double,Target value for DC voltage magnitude. The attribute shall be a positive value.
http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCConverter.targetPpcc,targetPpcc,http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCConverter,http://www.w3.org/2001/XMLSchema#double,"Real power injection target in AC grid, at point of common coupling.  Load sign convention is used, i.e. positive sign means flow out from a node."
http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCConverter.q,q,http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCConverter,http://www.w3.org/2001/XMLSchema#double,"Reactive power at the point of common coupling. Load sign convention is used, i.e. positive sign means flow out from a node.
Starting value for a steady state solution in the case a simplified power flow model is used."
http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCTerminal.connected,connected,http://iec.ch/TC57/2013/CIM-schema-cim16#ACDCTerminal,http://www.w3.org/2001/XMLSchema#boolean,"The connected status is related to a bus-branch model and the topological node to terminal relation.  True implies the terminal is connected to the related topological node and false implies it is not. 
In a bus-branch model, the connected status is used to tell if equipment is disconnected without having to change the connectivity described by the topological node to terminal relation. A valid case is that conducting equipment can be connected in one end and open in the other. In particular for an AC line segment, where the reactive line charging can be significant, this is a relevant case."
http://iec.ch/TC57/2013/CIM-schema-cim16#ActivePowerLimit.value,value,http://iec.ch/TC57/2013/CIM-schema-cim16#ActivePowerLimit,http://www.w3.org/2001/XMLSchema#double,Value of active power limit. The attribute shall be a positive value or zero.
http://iec.ch/TC57/2013/CIM-schema-cim16#ApparentPowerLimit.value,value,http://iec.ch/TC57/2013/CIM-schema-cim16#ApparentPowerLimit,http://www.w3.org/2001/XMLSchema#double,The apparent power limit. The attribute shall be a positive value or zero.
http://iec.ch/TC57/2013/CIM-schema-cim16#AsynchronousMachine.asynchronousMachineType,asynchronousMachineType,http://iec.ch/TC57/2013/CIM-schema-cim16#AsynchronousMachine,http://www.w3.org/2001/XMLSchema#string,Indicates the type of Asynchronous Machine (motor or generator).
http://iec.ch/TC57/2013/CIM-schema-cim16#BatteryUnit.storedE,storedE,http://iec.ch/TC57/2013/CIM-schema-cim16#BatteryUnit,http://www.w3.org/2001/XMLSchema#double,Amount of energy currently stored. The attribute shall be a positive value or zero and lower than BatteryUnit.ratedE.
http://iec.ch/TC57/2013/CIM-schema-cim16#BatteryUnit.batteryState,batteryState,http://iec.ch/TC57/2013/CIM-schema-cim16#BatteryUnit,http://www.w3.org/2001/XMLSchema#string,"The current state of the battery (charging, full, etc.)."
http://iec.ch/TC57/2013/CIM-schema-cim16#ControlArea.pTolerance,pTolerance,http://iec.ch/TC57/2013/CIM-schema-cim16#ControlArea,http://www.w3.org/2001/XMLSchema#double,Active power net interchange tolerance. The attribute shall be a positive value or zero.
