property,label,domain,range,comment
http://iec.ch/TC57/2013/CIM-schema-cim16#TopologicalNode.BaseVoltage,BaseVoltage,http://iec.ch/TC57/2013/CIM-schema-cim16#TopologicalNode,http://iec.ch/TC57/2013/CIM-schema-cim16#BaseVoltage,The base voltage of the topological node.
http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject.mRID,mRID,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,http://www.w3.org/2001/XMLSchema#string,"Master resource identifier issued by a model authority. The mRID is unique within an exchange context. Global uniqueness is easily achieved by using a UUID, as specified in RFC 4122, for the mRID. The use of UUID is strongly recommended.
For CIMXML data files in RDF syntax conforming to IEC 61970-552, the mRID is mapped to rdf:ID or rdf:about attributes that identify CIM object elements."
http://iec.ch/TC57/2013/CIM-schema-cim16#Terminal.TopologicalNode,TopologicalNode,http://iec.ch/TC57/2013/CIM-schema-cim16#Terminal,http://iec.ch/TC57/2013/CIM-schema-cim16#TopologicalNode,"The topological node associated with the terminal.   This can be used as an alternative to the connectivity node path to topological node, thus making it unnecessary to model connectivity nodes in some cases.   Note that the if connectivity nodes are in the model, this association would probably not be used as an input specification."
http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject.name,name,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,http://www.w3.org/2001/XMLSchema#string,The name is any free human readable and possibly non unique text naming the object.
http://iec.ch/TC57/2013/CIM-schema-cim16#TopologicalNode.ConnectivityNodeContainer,ConnectivityNodeContainer,http://iec.ch/TC57/2013/CIM-schema-cim16#TopologicalNode,http://iec.ch/TC57/2013/CIM-schema-cim16#ConnectivityNodeContainer,The connectivity node container to which the topological node belongs.
http://iec.ch/TC57/2013/CIM-schema-cim16#TopologicalNode.ReportingGroup,ReportingGroup,http://iec.ch/TC57/2013/CIM-schema-cim16#TopologicalNode,http://iec.ch/TC57/2013/CIM-schema-cim16#ReportingGroup,The reporting group to which the topological node belongs.
http://iec.ch/TC57/2013/CIM-schema-cim16#DCTopologicalNode.DCEquipmentContainer,DCEquipmentContainer,http://iec.ch/TC57/2013/CIM-schema-cim16#DCTopologicalNode,http://iec.ch/TC57/2013/CIM-schema-cim16#DCEquipmentContainer,The connectivity node container to which the topological node belongs.
http://iec.ch/TC57/2013/CIM-schema-cim16#DCNode.DCTopologicalNode,DCTopologicalNode,http://iec.ch/TC57/2013/CIM-schema-cim16#DCNode,http://iec.ch/TC57/2013/CIM-schema-cim16#DCTopologicalNode,The DC topological node to which this DC connectivity node is assigned.  May depend on the current state of switches in the network.
http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject.energyIdentCodeEic,energyIdentCodeEic,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,http://www.w3.org/2001/XMLSchema#string,The attribute is used for an exchange of the EIC code (Energy identification Code). The length of the string is 16 characters as defined by the EIC code. For details on EIC scheme please refer to ENTSO-E web site.
http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject.description,description,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,http://www.w3.org/2001/XMLSchema#string,The description is a free human readable text describing or naming the object. It may be non unique and may not correlate to a naming hierarchy.
http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject.shortName,shortName,http://iec.ch/TC57/2013/CIM-schema-cim16#IdentifiedObject,http://www.w3.org/2001/XMLSchema#string,The attribute is used for an exchange of a human readable short name with length of the string 12 characters maximum.
http://iec.ch/TC57/2013/CIM-schema-cim16#DCBaseTerminal.DCTopologicalNode,DCTopologicalNode,http://iec.ch/TC57/2013/CIM-schema-cim16#DCBaseTerminal,http://iec.ch/TC57/2013/CIM-schema-cim16#DCTopologicalNode,See association end Terminal.TopologicalNode.
http://iec.ch/TC57/2013/CIM-schema-cim16#ConnectivityNode.TopologicalNode,TopologicalNode,http://iec.ch/TC57/2013/CIM-schema-cim16#ConnectivityNode,http://iec.ch/TC57/2013/CIM-schema-cim16#TopologicalNode,The topological node to which this connectivity node is assigned.  May depend on the current state of switches in the network.
